task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_tumor_stroma_mixing,1,utag_domain::Tumor__01,Tumor,FoxP3;CD11b;CD8;CD117;PanCK,0.1561266637863213,0.11224588670535066,0.04388077708097066,0.5488084730803175
motif_tumor_stroma_mixing,9,utag_domain::Macrophage__09,Macrophage,CD31;Vimentin;CD68;PDL1;CD11b,0.10737912701590993,0.07747641591821228,0.029902711097697654,0.5247131509267431
motif_tumor_stroma_mixing,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD4;CD45,0.1061869305174902,0.09319647445415093,0.012990456063339276,0.4793909973521624
motif_tumor_stroma_mixing,5,utag_domain::Tumor__05,Tumor,Vimentin;PDL1;PD1;CD31;GranzymeB,0.13238449652424594,0.12055452141587072,0.011829975108375218,0.500044130626655
motif_tumor_stroma_mixing,7,utag_domain::Tumor__07,Tumor,CD117;CD56;PanCK;CD163;CD38,0.0611532844502151,0.04964836308236215,0.011504921367852944,0.4721094439541042
motif_tumor_stroma_mixing,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.09500738918097835,0.09361775076908498,0.0013896384118933791,0.46028243601059143
motif_tumor_stroma_mixing,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.10642446915342421,0.1170513408759233,-0.010626871722499084,0.44395410414827896
motif_tumor_stroma_mixing,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.017734191527022797,0.03971780394025066,-0.02198361241322786,0.4717563989408649
motif_tumor_stroma_mixing,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.12250917494701702,0.16088182495113357,-0.03837265000411655,0.412621359223301
motif_tumor_stroma_mixing,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.09509427289737507,0.13560961788766077,-0.040515344990285695,0.4641659311562224
motif_interface_immune,4,utag_domain::Tumor__04,Tumor,CD69;CD11c;CD14;CD38;CD45,0.17314467656424812,0.024879161265774656,0.14826551529847345,0.5348360655737705
motif_interface_immune,8,utag_domain::Tumor__08,Tumor,CD163;PanCK;CD15;PDL1;Ki67,0.15828386221227825,0.10719101496967554,0.05109284724260271,0.5632318501170961
motif_interface_immune,0,utag_domain::Tumor__00,Tumor,CD69;CD14;CD11c;CD45;CD163,0.06768376085168495,0.02209184610191044,0.04559191474977452,0.5575443292070925
motif_interface_immune,3,utag_domain::Tumor__03,Tumor,CD163;PanCK;CD15;PDL1;CD20,0.12077563067640751,0.07556870259754025,0.04520692807886725,0.5833054533288726
motif_interface_immune,6,utag_domain::Macrophage__06,Macrophage,Vimentin;CD14;CD68;CD4;CD45,0.11249548431213131,0.09017969145930825,0.022315792852823063,0.5187353629976581
motif_interface_immune,2,utag_domain::CD4 T cell__02,CD4 T cell,CD3e;CD4;CD45RO;CD45;CD20,0.09574117461704655,0.07788523158399725,0.0178559430330493,0.5712194713951154
motif_interface_immune,7,utag_domain::Tumor__07,Tumor,CD117;CD56;PanCK;CD163;CD38,0.041115860495075984,0.04156750621198396,-0.00045164571690797795,0.5223318835731013
