region_id,domain_00,domain_01,domain_02,domain_03,domain_04,domain_05,domain_06,domain_07,domain_08,domain_09
UPMC_c001_v001_r001_reg001,0.0,0.05,0.033256880733944956,0.36811926605504586,0.0,0.005045871559633028,0.0006880733944954129,0.13922018348623852,0.004128440366972477,0.3995412844036697
UPMC_c001_v001_r001_reg002,0.0,0.021695402298850575,0.007471264367816092,0.514367816091954,0.0,0.009195402298850575,0.021551724137931036,0.12471264367816091,0.026867816091954023,0.27413793103448275
UPMC_c001_v001_r001_reg004,0.0,0.003682197988953406,0.03186517490440448,0.7268092338195723,0.0,0.001982721994051834,0.015153660954539017,0.041637161875088514,0.06373034980880896,0.1151394986545815
UPMC_c001_v001_r001_reg005,0.0,0.008220225578283311,0.12483272796788376,0.2053144714203785,0.0,0.02829286943223093,0.13152360925253298,0.020263811890651882,0.010131905945325941,0.4714203785127127
UPMC_c001_v001_r001_reg006,0.0,0.0,0.0004693733865289838,0.5522177892513495,0.0,0.007275287491199249,0.0063365407181412816,0.004459047172025346,0.3647031213330204,0.06453884064773527
UPMC_c001_v001_r001_reg007,0.0,0.014151845477146681,0.02906865557467967,0.27404857525339454,0.0,0.07228915662650602,0.09313444253203289,0.008032128514056224,0.09160451329126028,0.41767068273092367
UPMC_c001_v001_r001_reg008,0.0,0.08578821656050956,0.046377388535031844,0.33837579617834396,0.0,0.05015923566878981,0.02587579617834395,0.0015923566878980893,0.0768312101910828,0.375
UPMC_c001_v001_r001_reg009,0.00016100466913540493,0.0009660280148124296,0.09289969409112864,0.27515697955240703,0.0,0.020125583641925616,0.1990017710513605,0.016422476251811303,0.10417002093060698,0.2910964417968121
UPMC_c001_v001_r001_reg010,0.0034579285361435864,0.00016466326362588507,0.0009879795817553103,0.01234974477194138,0.0,0.15857072287172733,0.6006915857072287,0.0018112958998847356,0.043635764860859544,0.17833031450683354
UPMC_c001_v001_r001_reg011,0.011539544047283985,0.0059104981705600905,0.008443568815085843,0.4348437939769209,0.0,0.07739938080495357,0.15029552490852802,0.0059104981705600905,0.20855614973262032,0.0971010413734872
UPMC_c001_v001_r001_reg012,0.0,0.0014316392269148174,0.24180386542591267,0.1624910522548318,0.0,0.007015032211882605,0.10880458124552612,0.00572655690765927,0.16478167501789548,0.30794559770937724
UPMC_c001_v001_r001_reg013,0.0,0.01341381623071764,0.0006706908115358819,0.7397719651240778,0.0,0.026156941649899398,0.002012072434607646,0.002012072434607646,0.15358819584171696,0.06237424547283702
UPMC_c001_v001_r001_reg014,0.0,0.014836341388803916,0.04144998470480269,0.22254512083205874,0.0,0.022483940042826552,0.1365861119608443,0.008871214438666258,0.02844906699296421,0.5247782196390334
