task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap,dataset,selected
motif_cd8_clustering,spatial,2,0,174,49,0.9749163879598662,0.9749163879598662,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.4448160535117057,0.02842809364548493,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,hnc_wu2022,True
motif_cd8_clustering,spatial,2,1,181,42,0.7294117647058823,0.7529411764705882,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.11764705882352944,0.009411764705882342,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;composition::CD8 T cell;density::tumor_area_ratio;point-pattern::CD8 T cell_L_r100,hnc_wu2022,True
motif_cd8_clustering,spatial,2,2,177,46,0.9488636363636362,0.9507575757575757,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10,1,1,True,True,False,0.2367424242424241,0.0037878787878786735,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r10,hnc_wu2022,True
motif_cd8_clustering,spatial,2,3,175,48,0.9153439153439153,0.9188712522045855,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20,1,1,True,True,False,0.4373897707231041,-1.1102230246251565e-16,True,True,point-pattern::CD8 T cell_L_r200;composition::CD8 T cell;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20,hnc_wu2022,True
motif_cd8_clustering,spatial,2,4,185,38,0.9663865546218486,0.969187675070028,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r200;point-pattern::CD8 T cell_L_r100;point-pattern::CD8 T cell_L_r20,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,1,1,True,True,False,0.3697478991596638,0.10084033613445376,True,True,point-pattern::CD8 T cell_L_r200;point-pattern::CD8 T cell_K_r20;point-pattern::CD8 T cell_L_r20;point-pattern::CD8 T cell_L_r10;point-pattern::CD8 T cell_L_r100,hnc_wu2022,True
motif_immune_exclusion,spatial,0,0,166,50,0.9425287356321839,0.916256157635468,density::tumor_area_ratio,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,3,3,True,True,False,0.2068965517241379,-0.009852216748768461,True,True,density::tumor_area_ratio;composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tissue_density::Macrophage;density::tumor_density::B cell,hnc_wu2022,True
motif_immune_exclusion,spatial,0,1,172,44,0.9479166666666666,0.9520833333333333,density::tumor_area_ratio,density::tumor_density::Naive immune cell,density::tissue_density::CD8 T cell,,4,6,True,False,False,0.1645833333333332,0.012499999999999956,True,False,density::tumor_density::Naive immune cell;density::tissue_density::Naive immune cell;density::tumor_area_ratio;density::tumor_density::B cell;composition::CD8 T cell,hnc_wu2022,True
motif_immune_exclusion,spatial,0,2,173,43,0.8356481481481481,0.8425925925925927,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,3,1,True,True,False,0.13194444444444453,-0.0023148148148147696,True,True,density::tissue_density::CD8 T cell;density::tumor_area_ratio;composition::CD8 T cell;density::tumor_density::B cell;density::tissue_density::Macrophage,hnc_wu2022,True
motif_immune_exclusion,spatial,0,3,178,38,0.997229916897507,0.9944598337950139,density::tumor_area_ratio,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,4,5,True,True,False,0.2714681440443214,0.146814404432133,True,True,density::tumor_area_ratio;composition::CD8 T cell;density::tissue_density::Macrophage;point-pattern::Macrophage_L_r100;density::tissue_density::CD8 T cell,hnc_wu2022,True
motif_immune_exclusion,spatial,0,4,175,41,0.9166666666666666,0.9095238095238094,density::tumor_area_ratio,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,3,4,True,True,False,0.3452380952380951,0.00952380952380949,True,True,density::tumor_area_ratio;density::tumor_density::Tumor;composition::CD8 T cell;density::tissue_density::CD8 T cell;point-pattern::Tumor_L_r50,hnc_wu2022,True
motif_immune_exclusion,spatial,1,0,173,43,0.9372294372294372,0.9372294372294372,density::tumor_area_ratio,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,4,3,True,True,False,0.20995670995671,0.025974025974025983,True,True,density::tumor_area_ratio;composition::CD8 T cell;density::tissue_density::CD8 T cell;density::tumor_density::B cell;density::tissue_density::Macrophage,hnc_wu2022,True
motif_immune_exclusion,spatial,1,1,166,50,0.8969404186795492,0.9017713365539451,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,4,1,True,True,False,0.05797101449275355,0.0032206119162641045,True,True,density::tissue_density::CD8 T cell;density::tumor_density::CD4 T cell;composition::CD8 T cell;density::tissue_density::Macrophage;density::tumor_area_ratio,hnc_wu2022,True
motif_immune_exclusion,spatial,1,2,181,35,0.957516339869281,0.9640522875816993,density::tumor_area_ratio,density::tumor_density::Naive immune cell,density::tissue_density::CD8 T cell,,4,8,True,False,False,0.4019607843137254,0.02287581699346397,True,False,density::tumor_density::Naive immune cell;density::tumor_area_ratio;density::tissue_density::Naive immune cell;composition::Vessel;composition::CD8 T cell,hnc_wu2022,True
motif_immune_exclusion,spatial,1,3,179,37,0.9553571428571428,0.9523809523809523,density::tumor_area_ratio,density::tumor_area_ratio,density::tissue_density::CD8 T cell,density::tissue_density::CD8 T cell,3,2,True,True,False,0.14880952380952372,0.011904761904761862,True,True,density::tumor_area_ratio;density::tissue_density::CD8 T cell;composition::CD8 T cell;composition::Vessel;density::tumor_density::Naive immune cell,hnc_wu2022,True
