task,seed,fold,method,rank,feature,dataset,selected
motif_apc_t_contact,0,1,lasso,5,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,6,mixing::local_mixing_min,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,7,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,8,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,9,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,10,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,11,mixing::neighbor_fraction__B cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,12,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,13,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,14,mixing::neighbor_fraction__Macrophage__to__Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,15,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,16,mixing::neighbor_fraction__Macrophage__to__Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,17,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,18,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,19,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,20,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,3,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,4,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,5,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,6,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,7,mixing::neighbor_fraction__B cell__to__Tumor (Hypoxic),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,8,mixing::neighbor_fraction__Macrophage__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,9,point-pattern::Stromal cells_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,10,mixing::shannon_entropy_global,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,11,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,12,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,13,mixing::neighbor_fraction__Tumor (Proliferative)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,14,mixing::neighbor_fraction__Macrophage__to__Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,15,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,0,1,shap,16,mixing::neighbor_fraction__T & B cells__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,17,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,18,mixing::neighbor_fraction__B cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,19,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,20,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,3,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,4,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,5,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,6,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,7,mixing::neighbor_fraction__Tumor (CK7+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,8,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,9,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,10,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,11,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,12,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,13,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,14,mixing::neighbor_fraction__Macrophage__to__Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,15,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,16,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,17,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,18,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,19,point-pattern::T & B cells_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,20,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,2,mixing::neighbor_fraction__Tumor (CK7+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,3,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,4,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,5,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,6,mixing::neighbor_fraction__Tumor (CK lo HR hi p53+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,7,density::tumor_density::T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,8,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,9,composition::T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,10,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,11,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,12,mixing::local_mixing_mean,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,13,mixing::same_type_neighbor_fraction,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,14,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,15,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,16,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,17,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,18,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,19,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,20,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,3,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,4,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,5,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,6,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,7,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,8,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,9,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,10,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,11,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Tumor (CK+ HR+),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,12,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,13,mixing::neighbor_fraction__Tumor (Basal CK)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,14,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,15,point-pattern::T & B cells_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,16,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,17,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,18,mixing::neighbor_fraction__B cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,19,mixing::neighbor_fraction__Tumor (CK+ HR hi)__to__Macrophage,bc_jackson2020,True
