task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,control_frac_passed,verdict,dataset,selected
motif_tumor_high,control,15,0.9910796796602033,0.9916273077263528,1.0,1.0,1.0,1.0,0.13706249431887318,0.0018846510912886064,1.0,pass_control,bc_jackson2020,True
motif_cd8_high,control,15,0.9675672990624672,0.9639358673909649,1.0,1.0,1.0,1.0,0.37284449977628775,0.0044259617648989115,1.0,pass_control,bc_jackson2020,False
motif_t_tumor_mixing,spatial,15,0.7957735813829084,0.7992767957109669,1.0,1.0,0.9333333333333333,0.9333333333333333,0.07534404244905892,0.014619346180352011,1.0,pass_spatial,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,15,0.7974947761440432,0.7981601288894569,1.0,1.0,0.8666666666666667,0.8666666666666667,0.07357043333009715,0.0035355089828075967,1.0,pass_spatial,bc_jackson2020,True
motif_macrophage_tumor_niche,spatial,15,0.6277133026724379,0.627632393814442,1.0,0.8666666666666667,0.8,0.7333333333333333,0.08882380655533653,0.01849285150596153,1.0,pass_spatial,bc_jackson2020,True
motif_apc_t_contact,spatial,15,0.6376869402664105,0.6372125957805622,1.0,1.0,0.9333333333333333,0.9333333333333333,0.07980137684875462,0.004949780515311379,1.0,pass_spatial,bc_jackson2020,True
