dataset,task,scheme,metric,mean,sd,n,k_values,score
bc_jackson2020,OS,cv,c_index,0.4802253952827841,0.08240713901650905,15,5,0.480 ± 0.082
bc_jackson2020,DFS,cv,c_index,0.5500264519562715,0.053927978208352705,15,5,0.550 ± 0.054
bc_jackson2020,response,cv,auc_roc,0.5391577901410171,0.09364491208455544,15,5,0.539 ± 0.094
bc_jackson2020,clinical_type,cv,balanced_acc,0.25229599115815926,0.04053884034167531,15,5,0.252 ± 0.041
bc_jackson2020,clinical_type,Basel_to_Zurich,balanced_acc,0.25992342365514315,0.0,3,5,0.260 ± 0.000
bc_metabric_ali2020,DSS,cv,c_index,0.5445484527689043,0.05150450973638423,15,5,0.545 ± 0.052
bc_metabric_ali2020,OS,cv,c_index,0.4901803063109905,0.03381143556399925,15,5,0.490 ± 0.034
bc_metabric_ali2020,ER_status,cv,auc_roc,0.5807676375867425,0.062001121016674564,15,5,0.581 ± 0.062
crc_schurch2020,CLR_DII,cv,auc_roc,0.6027777777777777,0.1443572548589896,15,5,0.603 ± 0.144
crc_schurch2020,OS,cv,c_index,0.5886885870801312,0.10081634836329079,15,5,0.589 ± 0.101
crc_schurch2020,DFS,cv,c_index,0.43238494144744144,0.125359285024674,15,5,0.432 ± 0.125
crc_wu2022,primary_outcome,cv,auc_roc,0.5065509312793129,0.07486833014770194,15,5,0.507 ± 0.075
crc_wu2022,DFS,cv,c_index,0.5413462039782047,0.0786861484339939,15,5,0.541 ± 0.079
hnc_wu2022,primary_outcome,cv,auc_roc,0.6226865423328493,0.08277043414055628,15,5,0.623 ± 0.083
hnc_wu2022,hpv_status,cv,auc_roc,0.6885280777977051,0.09763432201632391,15,5,0.689 ± 0.098
hnc_wu2022,OS,cv,c_index,0.5550246352389613,0.09498880602694505,15,5,0.555 ± 0.095
hnc_wu2022,primary_outcome,UPMC_to_DFCI,auc_roc,0.5612121212121213,0.0,3,5,0.561 ± 0.000
hnc_wu2022,OS,UPMC_to_DFCI,c_index,0.4873323397913562,0.0,3,5,0.487 ± 0.000
luad_sorin2023,progression,cv,auc_roc,0.40375816993464053,0.08401698021850358,15,5,0.404 ± 0.084
luad_sorin2023,OS,cv,c_index,0.5492912893261191,0.028568085964451057,15,5,0.549 ± 0.029
luad_sorin2023,progression,Discovery_to_Validation,auc_roc,0.4640740740740741,0.0,3,5,0.464 ± 0.000
nsclc_aung2025,immunotherapy_response,cv,auc_roc,0.5866666666666666,0.31592645316516915,15,5,0.587 ± 0.316
nsclc_aung2025,PFS,cv,c_index,0.58703081232493,0.12812779080168918,15,5,0.587 ± 0.128
nsclc_aung2025,immunotherapy_response,Yale_to_UQ,auc_roc,0.4456521739130435,0.0,3,5,0.446 ± 0.000
nsclc_aung2025,immunotherapy_response,Yale_to_YaleExt,auc_roc,0.65,0.0,3,5,0.650 ± 0.000
nsclc_gnn_hoebel2026,OS,cv,c_index,0.7079742185347793,0.03604706222571406,15,5,0.708 ± 0.036
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,0.7690119578392997,0.046877251648513064,15,5,0.769 ± 0.047
nsclc_ici_monkman2024,immunotherapy_response,cv,auc_roc,0.6788888888888889,0.20735165539418535,15,5,0.679 ± 0.207
nsclc_ici_monkman2024,OS,cv,c_index,0.6443795093795094,0.2164748921721048,15,5,0.644 ± 0.216
tnbc_wang2023,pCR_arm_C,cv,auc_roc,0.5440173168507451,0.08074022438609652,15,5,0.544 ± 0.081
tnbc_wang2023,pCR_arm_CI,cv,auc_roc,0.6584666662132601,0.08590438318573235,15,5,0.658 ± 0.086
tnbc_wang2023,pCR_all,cv,auc_roc,0.6038361747667348,0.059507994197901114,15,5,0.604 ± 0.060
