task,seed,fold,method,rank,feature
motif_cd8_high,0,4,shap,2,utag_domain::Tumor__08
motif_cd8_high,0,4,shap,3,utag_domain::CD4 T cell__01
motif_cd8_high,0,4,shap,4,utag_domain::Stroma__02
motif_cd8_high,0,4,shap,5,utag_domain::Tumor__03
motif_cd8_high,0,4,shap,6,utag_domain::Tumor__04
motif_cd8_high,0,4,shap,7,utag_domain::CD4 T cell__00
motif_cd8_high,0,4,shap,8,utag_domain::CD4 T cell__09
motif_cd8_high,0,4,shap,9,utag_domain::Tumor__05
motif_cd8_high,0,4,shap,10,utag_domain::CD4 T cell__07
motif_cd8_high,1,0,lasso,1,utag_domain::CD4 T cell__09
motif_cd8_high,1,0,lasso,2,utag_domain::CD4 T cell__03
motif_cd8_high,1,0,lasso,3,utag_domain::CD4 T cell__02
motif_cd8_high,1,0,lasso,4,utag_domain::Stroma__07
motif_cd8_high,1,0,lasso,5,utag_domain::Tumor__05
motif_cd8_high,1,0,lasso,6,utag_domain::CD4 T cell__06
motif_cd8_high,1,0,lasso,7,utag_domain::Tumor__04
motif_cd8_high,1,0,lasso,8,utag_domain::Tumor__00
motif_cd8_high,1,0,lasso,9,utag_domain::Tumor__01
motif_cd8_high,1,0,lasso,10,utag_domain::Tumor__08
motif_cd8_high,1,0,shap,1,utag_domain::CD4 T cell__09
motif_cd8_high,1,0,shap,2,utag_domain::Tumor__05
motif_cd8_high,1,0,shap,3,utag_domain::Stroma__07
motif_cd8_high,1,0,shap,4,utag_domain::CD4 T cell__03
motif_cd8_high,1,0,shap,5,utag_domain::CD4 T cell__02
motif_cd8_high,1,0,shap,6,utag_domain::Tumor__04
motif_cd8_high,1,0,shap,7,utag_domain::Tumor__01
motif_cd8_high,1,0,shap,8,utag_domain::Tumor__08
motif_cd8_high,1,0,shap,9,utag_domain::CD4 T cell__06
motif_cd8_high,1,0,shap,10,utag_domain::Tumor__00
motif_cd8_high,1,1,lasso,1,utag_domain::CD4 T cell__09
motif_cd8_high,1,1,lasso,2,utag_domain::CD4 T cell__05
motif_cd8_high,1,1,lasso,3,utag_domain::Stroma__07
motif_cd8_high,1,1,lasso,4,utag_domain::Tumor__01
motif_cd8_high,1,1,lasso,5,utag_domain::Stroma__02
motif_cd8_high,1,1,lasso,6,utag_domain::CD4 T cell__00
motif_cd8_high,1,1,lasso,7,utag_domain::Tumor__06
motif_cd8_high,1,1,lasso,8,utag_domain::Tumor__03
motif_cd8_high,1,1,lasso,9,utag_domain::Macrophage__04
motif_cd8_high,1,1,lasso,10,utag_domain::Tumor__08
