task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,domain_names,top_shap
motif_tumor_high,control,2,0,294,72,0.9238539238539238,0.9238539238539238,utag_domain::B cell__09,utag_domain::Tumor__02,utag_domain::Tumor__01,utag_domain::Tumor__02;utag_domain::Tumor__07,5.0,1.0,True,True,False,0.32478632478632474,0.2408702408702409,True,True,utag_domain::CD4 T cell__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::CD4 T cell__06;utag_domain::Tumor__07;utag_domain::Stroma__08;utag_domain::B cell__09,utag_domain::Tumor__02;utag_domain::Tumor__07;utag_domain::Stroma__08;utag_domain::CD4 T cell__00;utag_domain::B cell__09
motif_tumor_high,control,2,1,295,71,0.9793322734499206,0.9793322734499206,utag_domain::Macrophage__01,utag_domain::Tumor__06,utag_domain::Tumor__06;utag_domain::Tumor__00,utag_domain::Tumor__06;utag_domain::Tumor__00,4.0,1.0,True,True,False,0.4833068362480128,0.27821939586645483,True,True,utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::CD4 T cell__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::CD4 T cell__08;utag_domain::CD4 T cell__09,utag_domain::Tumor__06;utag_domain::CD4 T cell__05;utag_domain::Tumor__00;utag_domain::Macrophage__01;utag_domain::CD4 T cell__07
motif_tumor_high,control,2,2,293,73,0.8408748114630467,0.8423831070889894,utag_domain::Tumor__03,utag_domain::Tumor__03,utag_domain::Tumor__03;utag_domain::Tumor__00,utag_domain::Tumor__03;utag_domain::Tumor__00,1.0,1.0,True,True,False,0.34841628959276016,0.2865761689291101,True,True,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::CD4 T cell__04;utag_domain::Macrophage__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Stroma__09,utag_domain::Tumor__03;utag_domain::Macrophage__05;utag_domain::Tumor__00;utag_domain::CD4 T cell__04;utag_domain::Stroma__09
motif_tumor_high,control,2,3,284,82,0.9593301435406699,0.9617224880382775,utag_domain::Tumor__08,utag_domain::Tumor__08,utag_domain::Tumor__08;utag_domain::Tumor__09;utag_domain::Tumor__05,utag_domain::Tumor__08;utag_domain::Tumor__06,1.0,1.0,True,True,False,0.3827751196172249,0.26555023923444976,True,True,utag_domain::Tumor__00;utag_domain::Stroma__01;utag_domain::Macrophage__02;utag_domain::B cell__03;utag_domain::CD4 T cell__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::Tumor__08;utag_domain::CD4 T cell__04;utag_domain::Stroma__01;utag_domain::B cell__03;utag_domain::Tumor__06
motif_tumor_high,control,2,4,298,68,0.923611111111111,0.923611111111111,utag_domain::Tumor__01,utag_domain::Tumor__01,utag_domain::Tumor__01;utag_domain::Tumor__06,utag_domain::Tumor__01;utag_domain::Tumor__06,1.0,1.0,True,True,False,0.27951388888888884,0.13107638888888873,True,True,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::B cell__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::Stroma__09,utag_domain::Tumor__01;utag_domain::Macrophage__03;utag_domain::Tumor__06;utag_domain::B cell__02;utag_domain::CD4 T cell__07
motif_cd8_high,control,0,0,287,79,0.7183006535947712,0.7150326797385621,utag_domain::CD4 T cell__01,utag_domain::CD4 T cell__01,,,,,False,False,False,0.18366013071895426,0.33529411764705874,False,False,utag_domain::Tumor__00;utag_domain::CD4 T cell__01;utag_domain::Macrophage__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::Macrophage__06;utag_domain::Tumor__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::CD4 T cell__01;utag_domain::Tumor__05;utag_domain::Tumor__03;utag_domain::Tumor__00;utag_domain::Tumor__09
motif_cd8_high,control,0,1,294,72,0.8253968253968254,0.8246031746031746,utag_domain::B cell__06,utag_domain::Tumor__09,,,,,False,False,False,0.311111111111111,0.2047619047619047,True,False,utag_domain::Tumor__00;utag_domain::Tumor__01;utag_domain::CD4 T cell__02;utag_domain::Macrophage__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::B cell__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::Tumor__09;utag_domain::Tumor__05;utag_domain::B cell__06;utag_domain::Tumor__01;utag_domain::CD4 T cell__02
motif_cd8_high,control,0,2,296,70,0.7813267813267813,0.7821457821457821,utag_domain::CD4 T cell__06,utag_domain::CD4 T cell__06,,,8.0,8.0,False,False,False,0.30794430794430794,0.14332514332514334,True,False,utag_domain::Stroma__00;utag_domain::Tumor__01;utag_domain::Tumor__02;utag_domain::Tumor__03;utag_domain::Macrophage__04;utag_domain::Tumor__05;utag_domain::CD4 T cell__06;utag_domain::CD8 T cell__07;utag_domain::Tumor__08;utag_domain::Tumor__09,utag_domain::CD4 T cell__06;utag_domain::Tumor__01;utag_domain::Macrophage__04;utag_domain::Tumor__05;utag_domain::Stroma__00
motif_cd8_high,control,0,3,291,75,0.8691322901849218,0.868421052631579,utag_domain::B cell__07,utag_domain::B cell__07,utag_domain::CD8 T cell__00,utag_domain::CD8 T cell__00,3.0,5.0,True,True,False,0.3527738264580369,0.11379800853485067,True,True,utag_domain::CD8 T cell__00;utag_domain::Stroma__01;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::CD4 T cell__04;utag_domain::Tumor__05;utag_domain::Tumor__06;utag_domain::B cell__07;utag_domain::Macrophage__08;utag_domain::Tumor__09,utag_domain::B cell__07;utag_domain::CD4 T cell__02;utag_domain::Tumor__03;utag_domain::Stroma__01;utag_domain::CD8 T cell__00
motif_cd8_high,control,0,4,296,70,0.8394758394758395,0.8370188370188371,utag_domain::B cell__06,utag_domain::B cell__06,,,,,False,False,False,0.19901719901719905,0.10319410319410316,True,False,utag_domain::CD4 T cell__00;utag_domain::CD4 T cell__01;utag_domain::Stroma__02;utag_domain::Tumor__03;utag_domain::Tumor__04;utag_domain::Tumor__05;utag_domain::B cell__06;utag_domain::CD4 T cell__07;utag_domain::Tumor__08;utag_domain::CD4 T cell__09,utag_domain::B cell__06;utag_domain::Tumor__08;utag_domain::CD4 T cell__01;utag_domain::Stroma__02;utag_domain::Tumor__03
