task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,control_frac_passed,verdict
motif_tumor_high,control,15,0.9252008657966989,0.9247807353947618,1.0,1.0,1.0,1.0,0.3708252112927745,0.23182865572393577,0.5333333333333333,pass_control
motif_cd8_high,control,15,0.8136351197253368,0.8149910771620116,0.13333333333333333,0.06666666666666667,0.8,0.06666666666666667,0.26177232832547526,0.14965746613791314,0.5333333333333333,fail_control
motif_cd8_clustering,spatial,15,0.6140280933009531,0.6141458190334841,0.06666666666666667,0.0,0.7333333333333333,0.0,0.10549981548517144,0.044399738752652414,0.5333333333333333,abundance_only_or_fail
motif_tumor_stroma_mixing,spatial,15,0.4915739547725587,0.48625351338349304,1.0,1.0,0.3333333333333333,0.3333333333333333,-0.022865189564873562,0.017097885407341914,0.5333333333333333,abundance_only_or_fail
motif_interface_immune,spatial,15,0.7304904933397545,0.7341212671705737,0.4666666666666667,0.4,0.7333333333333333,0.26666666666666666,0.20306024806995718,0.11494464520807122,0.5333333333333333,abundance_only_or_fail
motif_immune_exclusion,spatial,15,0.5874221825987302,0.5888414225881872,0.0,0.0,0.5333333333333333,0.0,0.08271257141589267,0.04620561369017606,0.5333333333333333,abundance_only_or_fail
