dataset,task,mean,std,count
bc_jackson2020,motif_apc_t_contact,0.5622317085016134,0.04972003097829202,15
bc_jackson2020,motif_cd8_high,0.7616761407113928,0.048718263429126725,15
bc_jackson2020,motif_cd8_tumor_contact,0.6211470108144224,0.06535507491599458,15
bc_jackson2020,motif_macrophage_tumor_niche,0.5369840561410949,0.07658959634315214,15
bc_jackson2020,motif_t_tumor_mixing,0.6441630242903946,0.07073834021997312,15
bc_jackson2020,motif_tumor_high,0.8387785054036384,0.03335306555235251,15
hnc_wu2022,motif_cd8_clustering,0.6129998796743289,0.10480602244536531,15
hnc_wu2022,motif_cd8_high,0.7529176355960404,0.04232535416263775,15
hnc_wu2022,motif_immune_exclusion,0.7063500584194474,0.07153731442149229,15
hnc_wu2022,motif_tumor_high,0.8099482206682047,0.07423134018124554,15
tnbc_wang2023,motif_cd8_high,0.9243832462365695,0.016637732538787767,15
tnbc_wang2023,motif_tumor_high,0.847048053047643,0.032413861849561514,15
bc_metabric_ali2020,motif_cd8_high,0.6447154698993605,0.05244312876668298,15
bc_metabric_ali2020,motif_interface_immune,0.613082833097581,0.0352768906725112,15
bc_metabric_ali2020,motif_tumor_high,0.7936601299999039,0.03337788543257064,15
bc_metabric_ali2020,motif_tumor_stroma_mixing,0.5967312768131489,0.0759734724800668,15
