dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),1,-0.16681629322598818,0.2293071838766145,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR hi),2,-0.16349041288546795,0.32310560938356414,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),0,-0.06719625607532882,0.0946903430124829,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),1,-0.02723015756069479,0.044988970174977196,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR lo),2,-0.04030196107594354,0.07780724759046492,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK+ HR+),2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),0,-0.3156868974016235,0.21503038947447875,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),1,-0.24113701425987175,0.23532833845105927,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),2,-0.2779495016726045,0.2507826765793495,0.8,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),0,0.42465063024954885,0.2681900018060305,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),1,0.43027889191245683,0.13361291464285804,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (CK7+),2,0.3948738595965557,0.19381437055415943,1.0,5,True
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),0,-0.045449732677504615,0.1335967116658262,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),1,-0.04665595911860814,0.093556217409215,0.4,5,False
BC-Jackson2020,response,1,patch_max_composition__Tumor (Epithelial low),2,0.0,0.0,0.0,5,False
