task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
DFS,cv,cox,risk,PanCK,1,0.051090097824788204,0.051090097824788204,-0.8666666666666666,1.0
DFS,cv,cox,risk,RORgammaT,1,0.050851693766465624,0.050851693766465624,-0.3333333333333333,1.0
DFS,cv,cox,risk,phospho-Histone,1,0.049652441717644956,0.049652441717644956,-0.8666666666666667,1.0
DFS,cv,cox,risk,DAPI,1,0.04718552064413982,0.04718552064413982,-1.0,1.0
DFS,cv,cox,risk,Estrogen,1,0.04698496470702696,0.04698496470702696,0.7333333333333333,1.0
DFS,cv,cox,risk,Ki-67,1,0.04652606771606197,0.04652606771606197,1.0,1.0
DFS,cv,cox,risk,DRAQ5,1,0.046368071120356444,0.046368071120356444,-0.33333333333333326,1.0
DFS,cv,cox,risk,CollagenIV,1,0.04633439509963681,0.04633439509963681,0.8666666666666667,1.0
DFS,cv,cox,risk,ICOS,2,0.04555409711389581,0.04555409711389581,-0.6,1.0
DFS,cv,cox,risk,Histone H3,1,0.04328324314270931,0.04328324314270931,-1.0,1.0
DFS,cv,cox,risk,CD117,1,0.0430388478768967,0.0430388478768967,-0.3333333333333333,1.0
DFS,cv,cox,risk,IDO-1,1,0.042853143465569794,0.042853143465569794,0.19999999999999993,1.0
DFS,cv,cox,risk,CD21,2,0.04147214311520808,0.04147214311520808,0.5333333333333332,1.0
DFS,cv,cox,risk,SMA,1,0.04068777302371169,0.04068777302371169,-0.8666666666666667,1.0
DFS,cv,cox,risk,CD44,2,0.04021305744253223,0.04021305744253223,0.13333333333333336,0.5
DFS,cv,cox,risk,TFAM,1,0.03996537802357461,0.03996537802357461,-1.0,1.0
DFS,cv,cox,risk,EGFR,2,0.03965694166667664,0.03965694166667664,-0.46666666666666656,1.0
DFS,cv,cox,risk,Granzyme B,1,0.038756427744939925,0.038756427744939925,-0.5999999999999999,1.0
DFS,cv,cox,risk,cleaved PARP,1,0.038027851129503625,0.038027851129503625,0.8666666666666667,1.0
DFS,cv,cox,risk,PD-1,1,0.03625135588880576,0.03625135588880576,-0.7333333333333332,1.0
DFS,cv,cox,risk,GATA3,2,0.035075175765800284,0.035075175765800284,0.6666666666666665,1.0
DFS,cv,cox,risk,CD3e,1,0.03497899471460564,0.03497899471460564,0.2,1.0
DFS,cv,cox,risk,Progesterone Receptor A/B,1,0.03466124693121644,0.03466124693121644,-0.3333333333333333,1.0
DFS,cv,cox,risk,CD57,1,0.033843198469639325,0.033843198469639325,-0.46666666666666656,1.0
DFS,cv,cox,risk,Keratin 14 (KRT14),1,0.03248089471204494,0.03248089471204494,-0.6,1.0
DFS,cv,cox,risk,CD11b,2,0.032387847863137934,0.032387847863137934,-0.33333333333333337,0.5
DFS,cv,cox,risk,DNA1,1,0.03218350570859733,0.03218350570859733,0.8666666666666667,1.0
DFS,cv,cox,risk,PDL1,1,0.031965422713740844,0.031965422713740844,-0.2,1.0
DFS,cv,cox,risk,CD134,1,0.030272253814733977,0.030272253814733977,-0.4666666666666667,1.0
DFS,cv,cox,risk,Cytokeratin 5,1,0.03000139926125692,0.03000139926125692,0.7333333333333333,1.0
DFS,cv,cox,risk,CD14,1,0.029800888362055813,0.029800888362055813,-0.6,1.0
DFS,cv,cox,risk,Cytokeratin 19,1,0.028675119740083275,0.028675119740083275,0.2,1.0
DFS,cv,cox,risk,phospho-mTOR,1,0.028416562328403772,0.028416562328403772,0.2,1.0
