dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0004,0.0006474811234511435,True
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0005,-0.1305270493030548,True
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0006,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0007,-0.10355877131223679,True
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0008,0.0,False
BC-Jackson2020,response,1,1,1.0,176,43,1,utag_0009,-0.10636002570390701,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0000,0.32015353441238403,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0001,0.32427603006362915,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0002,0.1070614904165268,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0003,-0.062272943556308746,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0004,0.0,False
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0005,-0.08833800256252289,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0006,-0.34241393208503723,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0007,0.08160912990570068,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0008,-0.09605807811021805,True
BC-Jackson2020,response,1,2,1.0,177,42,1,utag_0009,0.0,False
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0000,-0.5809330344200134,True
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0001,0.15732550621032715,True
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0002,-0.08369624614715576,True
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0003,0.02161620743572712,True
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0004,0.0,False
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0005,-0.08624280989170074,True
BC-Jackson2020,response,1,3,1.0,168,51,1,utag_0006,-0.10088641941547394,True
