dataset,task,scheme,model,class,feature,mean_abs_shap,sd_abs_shap,mean_shap,value_shap_spearman,top_fold_frequency,n_fold_models,n_explained_regions,direction_consistency,direction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Myoepithelial),0.04057841097914749,0.013269613504609864,-0.00011268832280986532,-1.0,0.2,15,1128,1.0,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK+ HR lo),0.037311490993722364,0.022111943113108726,0.0011577629608276938,1.0,0.13333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Estrogen,0.03705764540063003,0.0224895711126868,0.0033189826783085272,0.6,0.2,15,1128,0.8,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Progesterone Receptor A/B,0.036657406695584774,0.03499855501404858,-0.005201345446322934,-0.3333333333333333,0.3333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__cleaved PARP,0.03506703309944314,0.02862339008883102,0.00035667487084196166,1.0,0.2,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Cytokeratin 7,0.03386546087755603,0.02753811171561992,-0.0019541640386519996,-0.8666666666666667,0.06666666666666667,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Stroma (Small circular),0.03369865220560548,0.02703275888380561,-0.0015986456494345806,-0.8666666666666667,0.13333333333333333,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK+ HR hi),0.03142610825563375,0.021048679972234738,0.0002533368680193427,1.0,0.13333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__phospho-mTOR,0.030565644142018216,0.027952599124984316,-0.00453735108043063,-0.3333333333333333,0.13333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__CD45,0.029851042956169083,0.01243027850720708,-0.0008516713554945364,-0.8666666666666667,0.06666666666666667,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Histone H3,0.02964540817975805,0.023434241546687433,-0.0005230066118640054,-0.6,0.2,15,1128,0.8,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__T & B cells,0.02933501157773682,0.017182339339549147,0.00042436914289655897,1.0,0.06666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__CD20,0.028924294555308275,0.011791031827225516,-0.0028805955182643972,0.7333333333333333,0.0,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Stroma (Small elongated),0.028154622811533903,0.024888427915785903,-0.0011976681202193868,-0.3333333333333333,0.13333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Cytokeratin 8/18,0.02645350419707795,0.016285709438999162,-0.0018296007412033867,-0.4666666666666667,0.0,15,1128,0.7333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__CD44,0.026275499059254755,0.015682812116117238,0.0029961355453010574,0.06666666666666667,0.0,15,1128,0.5333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Macrophage,0.02585873518899388,0.018918459355105756,-8.802236294643804e-06,0.7333333333333333,0.13333333333333333,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Fibronectin,0.02380268552006348,0.022775443376678643,-0.0009924630696427398,-0.4666666666666667,0.13333333333333333,15,1128,0.7333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Basal CK),0.02256780384651066,0.014750057131698571,-7.371783252237719e-06,-0.6,0.0,15,1128,0.8,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__DNA1,0.022114351125433352,0.018912772664762857,0.0008023625832554419,0.3333333333333333,0.06666666666666667,15,1128,0.6666666666666666,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__T cell,0.021859203334143026,0.010696273880843711,-0.0010920286923527174,0.3333333333333333,0.0,15,1128,0.6666666666666666,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Ki-67,0.021302594402574825,0.02254961516471034,0.0010940465471835422,-0.06666666666666667,0.13333333333333333,15,1128,0.5333333333333333,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__phospho-Histone,0.02042790424919431,0.018659120716766744,-0.0011585882205741686,0.2,0.06666666666666667,15,1128,0.6,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK+ HR+),0.019964692423776586,0.01191889771051529,0.000581526226655514,1.0,0.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,expression__Keratin 14 (KRT14),0.01980623240577126,0.01982100098233961,0.004131791539322384,-0.3333333333333333,0.06666666666666667,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK lo HR hi p53+),0.019619362974915504,0.013147521200135785,-0.0027420552595753146,0.8666666666666666,0.0,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (p53+ EGFR+),0.013528353163161387,0.009819665954149261,0.001562312477116185,0.4666666666666667,0.0,15,1128,0.7333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (CK7+ CK hi Ecadh hi),0.012636276632925278,0.011304160821580641,-0.00020662772618031873,0.06666666666666668,0.0,15,1128,0.5333333333333333,higher value increases prediction
bc_jackson2020,DFS,cv,cox,risk,composition__Tumor (Hypoxic),0.011889238682265173,0.019279531980719737,0.004666608282854161,0.19999999999999998,0.06666666666666667,15,1128,0.6,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Vimentin,0.19070414117422746,0.03363839100406254,0.00040909190265874207,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__c-erbB-2 - Her2,0.18772610340248055,0.03108735886492037,0.0006246140375529602,1.0,1.0,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__vWF,0.1481173048781475,0.036288549043259934,-0.003452814544864737,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Ecadherin,0.14049536741394678,0.04915384053703498,0.001649899748301147,-1.0,0.9333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Twist,0.10934652153865806,0.031106828935525528,-0.0003530459890807633,-1.0,0.9333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK7+),0.10907046768780636,0.025960411797027447,-0.0007701448026086889,-1.0,1.0,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__p53,0.09491308565934499,0.03935420550793261,0.0021123143591833113,1.0,0.8666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Progesterone Receptor A/B,0.08381637007257241,0.030730418432748666,0.00092351354732401,-1.0,0.8,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (Large elongated),0.07967783792629825,0.046320741092814366,0.004651229175185155,1.0,0.6666666666666666,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Epithelial low),0.07921776804822973,0.032389175336911664,0.000876838594028768,1.0,0.9333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__cleaved PARP,0.07732275897441054,0.0381324486465769,0.0025698955084520773,1.0,0.6,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__phospho-S6,0.07565250966287476,0.03134212738001877,0.0005738165272646906,0.8666666666666667,0.8,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (Vimentin hi),0.07424304597306776,0.030764009325834465,-6.527761648449054e-05,-1.0,0.6666666666666666,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Histone H3,0.06836860538714104,0.03175504984808957,-0.0013961259636368823,-1.0,0.5333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (Small circular),0.06635085100617669,0.028374952893584986,-0.003443849479854699,-1.0,0.6,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Slug,0.06593571167733439,0.026943043817302642,0.0015888902047632787,-1.0,0.6666666666666666,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__c-Myc,0.06562138126477153,0.03170708410614959,0.0020887801734883397,1.0,0.5333333333333333,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Apoptotic),0.061765580741213036,0.042071702906362356,-0.006051654411909556,-1.0,0.3333333333333333,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Cytokeratin 5,0.060257131780522645,0.0333928424404135,0.0022518557979111097,1.0,0.4666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Carbonic Anhydrase IX,0.058446279563001455,0.03135923817330313,-9.561590818753243e-05,1.0,0.4,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__DNA1,0.05599689745356784,0.03561656592014656,-0.0032224412389838617,-0.7333333333333333,0.4666666666666667,15,1128,0.8666666666666667,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK lo HR lo),0.05202427283508298,0.028367332219101808,0.002017716943413089,0.7333333333333333,0.4666666666666667,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (Fibronectin hi),0.050988001137907545,0.03823914402350855,0.0022486456425726267,0.8666666666666667,0.2,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__phospho-mTOR,0.0492640611983248,0.03445696280719971,0.0003490323017998554,-1.0,0.26666666666666666,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Proliferative),0.0485758478572842,0.025548554047786484,-0.0007239873801011058,0.8666666666666667,0.3333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK+ HR lo),0.04785716284402972,0.02891443669086787,-7.461709850614211e-05,0.8666666666666667,0.4666666666666667,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (SMA hi Vimentin hi),0.047829296422982545,0.013189243008728568,0.0022014654090327045,-1.0,0.26666666666666666,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__CD3,0.045907292500966805,0.023532874776586506,-0.002072537943694179,-1.0,0.26666666666666666,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Stroma (Small elongated),0.04204530252190665,0.025056648276043755,-0.0012603222408348184,-1.0,0.2,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__CD44,0.039830917322341584,0.026559003232328744,-0.00031649794059912577,0.6,0.2,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__phospho-Histone,0.03920262485884614,0.019704385642428476,0.001573159254944246,-0.3333333333333333,0.13333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK lo HR hi p53+),0.03842169516967179,0.0318782563286348,0.004476185898324,1.0,0.06666666666666667,15,1128,1.0,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__GATA3,0.03666370099890615,0.030492427244992175,0.0003138538515841287,-0.3333333333333333,0.26666666666666666,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__T cell,0.03656121419050295,0.023331968992154437,-0.0026625400256965804,0.8666666666666667,0.13333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Endothelial,0.03643294171448188,0.015556692288324363,-0.0013684887918925992,0.7333333333333333,0.13333333333333333,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Cytokeratin 8/18,0.03562831146817227,0.020958606824374143,0.0008760193987008884,-0.6,0.2,15,1128,0.8,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Myoepithelial),0.0348524268443358,0.013810502942847037,0.001048412938090922,-1.0,0.06666666666666667,15,1128,1.0,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__SMA,0.03427149897887724,0.020462319066814446,-0.0015146597342992562,-0.3333333333333333,0.13333333333333333,15,1128,0.6666666666666666,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Cytokeratin 19,0.03389301011537327,0.0205200391374948,0.0005407905716349083,0.7333333333333333,0.13333333333333333,15,1128,0.8666666666666667,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Ki-67,0.03373126713504371,0.02524635187196321,-0.005103148885853963,0.3333333333333333,0.06666666666666667,15,1128,0.6666666666666666,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__CD68,0.03092740653037045,0.021683640119022473,-0.0003528660557957543,-0.8666666666666667,0.13333333333333333,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Fibronectin,0.030278473870205137,0.015688413748109673,0.00015352201508042024,-0.7333333333333333,0.06666666666666667,15,1128,0.8666666666666667,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__EGFR,0.029356941988298975,0.020482157357645216,-0.0024408860383297827,0.6,0.06666666666666667,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__B cell,0.029048830776732856,0.03524843455729056,0.009806168667269093,-0.8666666666666667,0.06666666666666667,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK+ HR hi),0.029047969061022638,0.020353436791839555,-0.0001630996203271754,0.8666666666666667,0.13333333333333333,15,1128,0.9333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Macrophage,0.02752049321876865,0.01632639164421756,-0.005481339099540117,0.6,0.13333333333333333,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__pan Cytokeratin,0.0267941310404704,0.01784941201485171,7.999493191140505e-05,0.6,0.06666666666666667,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__CD45,0.02211960107764389,0.021364733051650153,0.000658934950146928,-0.7333333333333333,0.06666666666666667,15,1128,0.8666666666666667,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (p53+ EGFR+),0.02075030316698988,0.006480928404994714,-0.0032959729611286587,0.6,0.0,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Cytokeratin 7,0.019688298156071368,0.014929029111702106,0.001804594186163204,0.06666666666666665,0.0,15,1128,0.5333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Estrogen,0.018147343053876032,0.017907603993619414,-0.0005027214328605092,-0.06666666666666667,0.06666666666666667,15,1128,0.5333333333333333,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,expression__CD20,0.01689959838651989,0.009628503679187392,0.0024271803268493255,-0.8666666666666667,0.0,15,1128,0.9333333333333333,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Hypoxic),0.01586776722348114,0.010719009793551467,0.000466378190815146,0.6,0.0,15,1128,0.8,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK+ HR+),0.015574868233617778,0.013098829469369988,-0.0007327447413739814,0.06666666666666661,0.0,15,1128,0.5333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,expression__Keratin 14 (KRT14),0.014987177236707583,0.00979568507853482,0.0009093456699259715,-0.6,0.0,15,1128,0.8,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (Basal CK),0.013706256725589743,0.012179198121372248,0.00018033589766422792,-0.6,0.0,15,1128,0.8,higher value decreases prediction
bc_jackson2020,OS,cv,cox,risk,composition__Tumor (CK7+ CK hi Ecadh hi),0.011229882394945148,0.009117820872141516,0.001189834424919931,0.4666666666666667,0.0,15,1128,0.7333333333333333,higher value increases prediction
bc_jackson2020,OS,cv,cox,risk,composition__T & B cells,0.006520894792176041,0.009061898436944625,0.0010791445345340646,-0.4666666666666667,0.0,15,1128,0.7333333333333333,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__HR- CK7+,0.11078829379185204,0.028272681835999965,0.0018852960552031455,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__panCK,0.10979605845453579,0.02651513807382096,0.00017401866703361548,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__PR,0.10936734509493037,0.024495594480908277,-0.00035659830051944116,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__Ki67,0.1043810538542422,0.0331317704139263,0.002420347613652617,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__Fibroblasts,0.10312647333982278,0.020032697868625094,0.0007460823102833092,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__CK19,0.09706809757436147,0.02386314639083966,-0.001442698655502016,-1.0,0.9333333333333333,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__HER2,0.09418152113856665,0.028252024563585665,0.0006560381969188815,1.0,1.0,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__HR+ CK7- Ki67+,0.08571391843439076,0.029430908592861443,-0.0003030214744028963,1.0,0.8666666666666667,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__CK5,0.08141101558913227,0.01594730443418229,-0.0009546962119588324,-1.0,1.0,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__Slug,0.07760358262261675,0.02091831179692978,0.0005094313535332137,1.0,0.9333333333333333,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,expression__pS6,0.0774743654021266,0.02839106073183219,-0.0007613899327028465,-1.0,0.8666666666666667,15,1596,1.0,higher value decreases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__Fibroblasts CD68+,0.0720610830524929,0.022029526231056765,-0.0007703756828808981,1.0,0.9333333333333333,15,1596,1.0,higher value increases prediction
bc_metabric_ali2020,DSS,cv,cox,risk,composition__Vascular SMA+,0.06271450104923303,0.021849187913493853,-0.0014622966916441717,-1.0,0.5333333333333333,15,1596,1.0,higher value decreases prediction
