dataset,task,scheme,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Histone H3,0.043521264790492335,0.0014859542428403722,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Keratin 14 (KRT14),0.03840862357050699,0.00857745039278895,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Ki-67,0.05012768980698584,-0.00617964669267824,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Progesterone Receptor A/B,0.1366361327677473,-0.008324047613334495,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__SMA,0.06546541528278217,0.003713172440954182,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Slug,0.06419358644376058,0.018001474224637014,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Twist,0.1008307618162764,0.006174458095931333,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__Vimentin,0.1474591207509264,-0.02251183231197876,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__c-Myc,0.06633769632128951,-0.012012361964102125,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__c-erbB-2 - Her2,0.19873991528240528,-0.020077069890455896,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__cleaved PARP,0.0676331729836081,-0.005128155790721321,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__p53,0.07665765629248926,0.001337733297064048,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__pan Cytokeratin,0.04781233257391262,-0.005234430320994087,1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__phospho-Histone,0.0396054571967228,0.005279651009781324,-1.0,False,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__phospho-S6,0.061856750396994314,0.0034143251974251498,1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__phospho-mTOR,0.07240278653494854,0.006097258542103774,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,0,expression__vWF,0.15352439642485954,0.007146413726338505,-1.0,True,76
bc_jackson2020,OS,cv,cox,risk,0,1,composition__B cell,0.012587171805813733,0.006268184492141953,-0.9999999999999998,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Endothelial,0.06361804063168842,-0.00654357918917414,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Macrophage,0.0191307996350748,-0.00307715356458971,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (Fibronectin hi),0.038705793736608624,0.010369459559555498,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (Large elongated),0.23012196283054046,0.11278825454662969,0.9999999999999998,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (SMA hi Vimentin hi),0.04056253260120136,-0.005010257252183073,-1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (Small circular),0.03872141981276409,0.008919985610238374,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (Small elongated),0.11239275487885379,-0.015653522965381545,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Stroma (Vimentin hi),0.10909053021849698,0.002258799790447407,-0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__T & B cells,0.012553429315785026,0.003399809771393226,-1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__T cell,0.054554859967133724,-0.019764214122427133,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Apoptotic),0.07324928990235924,-0.008660103286847888,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Basal CK),0.0039322954880540075,-0.00039586449809098594,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK lo HR hi p53+),0.02179228517812606,-0.021207243660008795,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK lo HR lo),0.04787426405583271,0.0006645904803417219,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK+ HR hi),0.013877517444917288,0.0014616016385594476,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK+ HR lo),0.012792608714677755,0.0005979142083145371,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK+ HR+),0.03203115098263868,0.006677850587946663,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK7+ CK hi Ecadh hi),0.01718300222730896,0.005890720297352488,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (CK7+),0.11346548362928828,-0.018039079921540992,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Epithelial low),0.06717674914193808,-0.01720235400192784,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Hypoxic),0.011299942315684137,-0.0004624870649271206,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Myoepithelial),0.06577645850771544,-0.012646008556160656,-1.0,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (Proliferative),0.03241668384612722,-0.014125739470211784,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,composition__Tumor (p53+ EGFR+),0.023339825616066786,0.0021482467362260115,1.0,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__CD20,0.02690756709879716,0.0020119345317638018,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__CD3,0.027578848428009232,0.0011732633818072858,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__CD44,0.05195548120986013,0.001054455294164507,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__CD45,0.019049073765010034,0.004086381418438365,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__CD68,0.00911699834192889,0.00035791790227108784,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Carbonic Anhydrase IX,0.07429539321775719,0.006912788457587707,0.9999999999999999,True,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Cytokeratin 19,0.040067902496927786,0.009640809476369335,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Cytokeratin 5,0.04074838647459787,0.001838224772463804,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Cytokeratin 7,0.04455789265505439,0.011503445867909265,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Cytokeratin 8/18,0.008589847400539597,-0.002858476782897098,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__DNA1,0.039297575216771824,0.00023482450846786434,0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__EGFR,0.015635469574884774,-0.002145238572407208,-0.9999999999999999,False,78
bc_jackson2020,OS,cv,cox,risk,0,1,expression__Ecadherin,0.16163754277483475,-0.037721641025527455,-0.9999999999999999,True,78
