dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-S6,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__phospho-mTOR,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_mean_expression__vWF,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__B cell,1.102435746295015,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Endothelial,0.7281399762709224,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Macrophage,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (Fibronectin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (Large elongated),-0.01643974939480592,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (SMA hi Vimentin hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (Small circular),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (Small elongated),0.08198117292854037,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Stroma (Vimentin hi),0.6311071612383429,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__T & B cells,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__T cell,0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Apoptotic),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK lo HR hi p53+),-0.9483552381619081,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK lo HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK7+ CK hi Ecadh hi),-0.42899700946503344,True
BC-Jackson2020,response,0,0,1.0,179,40,1,patch_max_composition__Tumor (CK7+),0.678142736265026,True
