dataset,task,model,class,seed,fold,feature,mean_abs_shap,mean_shap,value_shap_spearman,top_feature,n_explained_regions
bc_jackson2020,response,logistic,1,2,0,tcn_fraction__1,0.03199125779209497,0.003732272263866837,1.0,True,47
bc_jackson2020,response,logistic,1,2,0,tcn_fraction__2,0.01786746378407508,0.002688762602212308,-1.0,True,47
bc_jackson2020,response,logistic,1,2,0,tcn_fraction__3,0.1699408723008436,0.041914562480420095,-1.0,True,47
bc_jackson2020,response,logistic,1,2,0,tcn_fraction__4,0.0,0.0,,True,47
bc_jackson2020,response,logistic,1,2,0,tcn_fraction__5,0.028264908371475883,0.004005142427926062,0.9999999999999999,True,47
bc_jackson2020,response,logistic,1,2,1,tcn_fraction__1,0.0,0.0,,True,38
bc_jackson2020,response,logistic,1,2,1,tcn_fraction__2,0.014393681199884711,0.0035430793082793658,-1.0,True,38
bc_jackson2020,response,logistic,1,2,1,tcn_fraction__3,0.13484584454080395,-0.06098742910441838,-1.0,True,38
bc_jackson2020,response,logistic,1,2,1,tcn_fraction__4,0.053977435226254034,-0.0160184574161087,1.0,True,38
bc_jackson2020,response,logistic,1,2,1,tcn_fraction__5,0.052627749533589396,0.0020094420846187796,1.0,True,38
bc_jackson2020,response,logistic,1,2,2,tcn_fraction__1,0.0,0.0,,True,44
bc_jackson2020,response,logistic,1,2,2,tcn_fraction__2,0.08141841821583666,-0.04398543285889628,-1.0,True,44
bc_jackson2020,response,logistic,1,2,2,tcn_fraction__3,0.14710441734691723,0.04880410390805657,-1.0,True,44
bc_jackson2020,response,logistic,1,2,2,tcn_fraction__4,0.0010221502985690708,-0.0002929909490369847,1.0,True,44
bc_jackson2020,response,logistic,1,2,2,tcn_fraction__5,0.0,0.0,,True,44
bc_jackson2020,response,logistic,1,2,3,tcn_fraction__1,0.050169027874810916,-0.0047120529197602614,1.0,True,47
bc_jackson2020,response,logistic,1,2,3,tcn_fraction__2,0.0,0.0,,True,47
bc_jackson2020,response,logistic,1,2,3,tcn_fraction__3,0.144944474265113,0.016116877323363202,-1.0,True,47
bc_jackson2020,response,logistic,1,2,3,tcn_fraction__4,0.0,0.0,,True,47
bc_jackson2020,response,logistic,1,2,3,tcn_fraction__5,0.008539052819613658,0.00034120963187149,-0.9999999999999999,True,47
bc_jackson2020,response,logistic,1,2,4,tcn_fraction__1,0.0,0.0,,True,43
bc_jackson2020,response,logistic,1,2,4,tcn_fraction__2,0.062237953446053006,0.004756086441299717,-1.0,True,43
bc_jackson2020,response,logistic,1,2,4,tcn_fraction__3,0.2621477181062137,-0.07119452455983726,-1.0,True,43
bc_jackson2020,response,logistic,1,2,4,tcn_fraction__4,0.016602736075340265,-0.004198002139767263,1.0,True,43
bc_jackson2020,response,logistic,1,2,4,tcn_fraction__5,0.0,0.0,,True,43
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,0,tcn_fraction__1,0.014592920873823322,-0.002234295951246118,1.0,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,0,tcn_fraction__2,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,0,tcn_fraction__3,0.07825936267485806,-0.007577901710502971,-1.0,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,0,tcn_fraction__4,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,0,tcn_fraction__5,0.23716979219301815,-0.040966409697082054,-1.0,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,0,tcn_fraction__1,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,0,tcn_fraction__2,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,0,tcn_fraction__3,0.006041020692426916,-0.0005849557097534699,-1.0,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,0,tcn_fraction__4,0.04662561298468693,-0.010275704698317312,0.9999999999999998,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,0,tcn_fraction__5,0.03032878204256398,0.005238699664407584,1.0,True,66
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,0,tcn_fraction__1,0.10646715770251759,0.016300995630156745,-1.0,True,66
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,0,tcn_fraction__2,0.10229229958186446,0.010909551321818346,1.0,True,66
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,0,tcn_fraction__3,0.17316564642366544,0.016767734918646634,1.0,True,66
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,0,tcn_fraction__4,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,0,tcn_fraction__5,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,TripleNeg,0,0,tcn_fraction__1,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,TripleNeg,0,0,tcn_fraction__2,0.029043286542074494,-0.0030974885341341226,-1.0,True,66
bc_jackson2020,clinical_type,logistic,TripleNeg,0,0,tcn_fraction__3,0.024957436908711664,0.00241664380306863,1.0,True,66
bc_jackson2020,clinical_type,logistic,TripleNeg,0,0,tcn_fraction__4,0.06645959902058045,0.014646868323819175,-0.9999999999999998,True,66
bc_jackson2020,clinical_type,logistic,TripleNeg,0,0,tcn_fraction__5,0.0,0.0,,True,66
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,1,tcn_fraction__1,0.2064007327321742,0.027367940144471317,1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,1,tcn_fraction__2,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,1,tcn_fraction__3,0.03729798927056694,0.015816434847903446,-1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,1,tcn_fraction__4,0.15608560091078308,0.0524543888743693,1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,1,tcn_fraction__5,0.053959604909177596,0.009961796196943042,-1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,1,tcn_fraction__1,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,1,tcn_fraction__2,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,1,tcn_fraction__3,0.005353621088125579,0.0022702349589531403,-1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,1,tcn_fraction__4,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,1,tcn_fraction__5,0.02972219718084439,-0.005487187523690851,1.0,True,81
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,1,tcn_fraction__1,0.1275605522864995,-0.016914036658496927,-1.0,True,81
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,1,tcn_fraction__2,0.01047816896946663,-0.0002664773346629105,0.9999999999999999,True,81
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,1,tcn_fraction__3,0.11229607305162721,-0.04761981966942291,1.0,True,81
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,1,tcn_fraction__4,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,1,tcn_fraction__5,0.03857838629806247,0.00712218005589722,-1.0,True,81
bc_jackson2020,clinical_type,logistic,TripleNeg,0,1,tcn_fraction__1,0.0,0.0,,True,81
bc_jackson2020,clinical_type,logistic,TripleNeg,0,1,tcn_fraction__2,0.06381884421743339,0.0016230197812122909,-0.9999999999999999,True,81
bc_jackson2020,clinical_type,logistic,TripleNeg,0,1,tcn_fraction__3,0.041992970940656675,-0.017807369832585712,1.0,True,81
bc_jackson2020,clinical_type,logistic,TripleNeg,0,1,tcn_fraction__4,0.41232723073667155,-0.13856738083685063,-1.0,True,81
bc_jackson2020,clinical_type,logistic,TripleNeg,0,1,tcn_fraction__5,0.08536186852750546,-0.015759150547757714,1.0,True,81
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,2,tcn_fraction__1,0.06977682687965503,0.01884034558515695,0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,2,tcn_fraction__2,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,2,tcn_fraction__3,0.028556399342065768,-0.000372221137760611,-0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,2,tcn_fraction__4,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2+,0,2,tcn_fraction__5,0.0027636189920194876,3.7700784437045636e-05,-1.0,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,2,tcn_fraction__1,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,2,tcn_fraction__2,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,2,tcn_fraction__3,0.0005235822987942965,-6.82468390478918e-06,-0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,2,tcn_fraction__4,0.10780869775000727,-0.016275447963111978,1.0,True,78
bc_jackson2020,clinical_type,logistic,HR+HER2-,0,2,tcn_fraction__5,0.16075920848457473,-0.002193047696823859,1.0,True,78
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,2,tcn_fraction__1,0.319083184209376,-0.08615521412696633,-0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,2,tcn_fraction__2,0.08329035968565295,-0.019706691463463984,1.0,True,78
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,2,tcn_fraction__3,0.11968498232702288,0.0015600454301323069,0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,2,tcn_fraction__4,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,HR-HER2+,0,2,tcn_fraction__5,0.12007491559746786,0.0016380400201000851,-1.0,True,78
bc_jackson2020,clinical_type,logistic,TripleNeg,0,2,tcn_fraction__1,0.0,0.0,,True,78
bc_jackson2020,clinical_type,logistic,TripleNeg,0,2,tcn_fraction__2,0.11330756101886323,0.026808830624620104,-1.0,True,78
bc_jackson2020,clinical_type,logistic,TripleNeg,0,2,tcn_fraction__3,0.09793377647381767,0.0012765272423746947,0.9999999999999999,True,78
bc_jackson2020,clinical_type,logistic,TripleNeg,0,2,tcn_fraction__4,0.0,0.0,,True,78
