dataset,task,class,feature,seed,coefficient_mean,coefficient_sd,fold_selection_frequency,n_folds,selected
BC-Jackson2020,response,1,patch_max_expression__Keratin 14 (KRT14),0,-0.015418697708143827,0.03447725619992981,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__Keratin 14 (KRT14),1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__Keratin 14 (KRT14),2,-0.10962553058618793,0.15937685734221937,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Ki-67,0,-0.036327457871413685,0.08123066525024082,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__Ki-67,1,-0.05191499688323901,0.11832900096249568,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Ki-67,2,0.0029857617494433554,0.019737717146738738,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Progesterone Receptor A/B,0,-0.10452423002531823,0.1688994349812576,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Progesterone Receptor A/B,1,-0.11710434655146287,0.13996117765348126,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__Progesterone Receptor A/B,2,-0.011926721136364213,0.01635908770931144,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__SMA,0,0.4048120941997858,0.2870195928400113,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__SMA,1,0.3900817699658107,0.31033127164973645,1.0,5,True
BC-Jackson2020,response,1,patch_max_expression__SMA,2,0.37649452436593206,0.24440147373494392,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__Slug,0,0.3231649912650118,0.19348942203102676,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__Slug,1,0.24149989527947988,0.20393752279106636,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__Slug,2,0.18163573881686765,0.2105522410317178,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__Twist,0,0.15374900199780644,0.2340403596129417,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Twist,1,0.10524944350298311,0.17221323394536098,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Twist,2,0.05028386192551763,0.07107578478617291,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__Vimentin,0,-0.03892220071328644,0.08703268662879929,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__Vimentin,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__Vimentin,2,-0.044050623035431745,0.0985001875584435,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__c-Myc,0,-0.4880799494496424,0.3055417503742776,1.0,5,True
BC-Jackson2020,response,1,patch_max_expression__c-Myc,1,-0.42262950811123423,0.25787990131833355,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__c-Myc,2,-0.4764256288872567,0.3816424350419547,1.0,5,True
BC-Jackson2020,response,1,patch_max_expression__c-erbB-2 - Her2,0,-0.28678774826667297,0.31471078923848583,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__c-erbB-2 - Her2,1,-0.24643779934917873,0.2142425586145375,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__c-erbB-2 - Her2,2,-0.3948401151977647,0.3468584532176781,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__cleaved PARP,0,-0.05717610043908709,0.08767898498227883,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__cleaved PARP,1,-0.018304992399318005,0.03117932456613418,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__cleaved PARP,2,-0.0613960424046309,0.11407767033494529,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__p53,0,-0.01574556684113011,0.035208157801033556,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__p53,1,-0.050951357931900865,0.08318820670925518,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__p53,2,-0.03690722227655616,0.07508359837829406,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__pan Cytokeratin,0,-0.028935592504966003,0.0647019518103374,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__pan Cytokeratin,1,-0.1467272413768256,0.14411127867359722,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__pan Cytokeratin,2,-0.10644221342902087,0.14851301033280856,0.4,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-Histone,0,-0.004247495265446701,0.009497688147647336,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-Histone,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-Histone,2,-0.00022797015388273915,0.0005097567609228924,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-S6,0,-0.15888489089701605,0.21648753938168266,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__phospho-S6,1,-0.13962491972596927,0.1961066292002692,0.6,5,True
BC-Jackson2020,response,1,patch_max_expression__phospho-S6,2,-0.18059574869888123,0.1291977041821482,0.8,5,True
BC-Jackson2020,response,1,patch_max_expression__phospho-mTOR,0,-0.1102452079727301,0.24651577922062626,0.2,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-mTOR,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__phospho-mTOR,2,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__vWF,0,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__vWF,1,0.0,0.0,0.0,5,False
BC-Jackson2020,response,1,patch_max_expression__vWF,2,0.0,0.0,0.0,5,False
