dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__2,-0.0908854343880246,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__3,-0.215791751152402,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__4,0.0020618741434117,True
BC-Jackson2020,response,2,2,1.0,175,44,1,tcn_fraction__5,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__1,0.075074188351346,True
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__2,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__3,-0.1661918789124043,True
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__4,0.0,False
BC-Jackson2020,response,2,3,1.0,172,47,1,tcn_fraction__5,-0.0101274082177728,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__1,0.0,False
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__2,-0.0969720548699752,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__3,-0.2768356096714365,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__4,0.0295101117090493,True
BC-Jackson2020,response,2,4,1.0,176,43,1,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__1,0.0235769767476481,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__3,-0.1170729340423113,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2+,tcn_fraction__5,-0.351313669661676,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__3,-0.0090371297810226,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__4,0.0844589126871848,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR+HER2-,tcn_fraction__5,0.0449252647954043,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__1,-0.1720131098663805,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__2,0.1385130257557297,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__3,0.2590490084410676,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,HR-HER2+,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__2,-0.0393272368817357,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__3,0.0373353457683768,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__4,-0.1203867383523316,True
BC-Jackson2020,clinical_type,0,0,1.0,304,66,TripleNeg,tcn_fraction__5,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__1,0.2463688228925293,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__3,-0.0535485605938052,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__4,0.1521247451153226,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2+,tcn_fraction__5,-0.0678058455787347,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2-,tcn_fraction__1,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2-,tcn_fraction__2,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2-,tcn_fraction__3,-0.007686170456922,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2-,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR+HER2-,tcn_fraction__5,0.0373490264744754,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR-HER2+,tcn_fraction__1,-0.1522617807521335,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR-HER2+,tcn_fraction__2,0.0132788362176696,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR-HER2+,tcn_fraction__3,0.1612229825213522,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR-HER2+,tcn_fraction__4,0.0,False
BC-Jackson2020,clinical_type,0,1,1.0,289,81,HR-HER2+,tcn_fraction__5,-0.0484777475373682,True
BC-Jackson2020,clinical_type,0,1,1.0,289,81,TripleNeg,tcn_fraction__1,0.0,False
