dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,0,1.0,179,40,1,expression__vWF,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__B cell,0.5030695561252588,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Endothelial,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Macrophage,0.030183495503035195,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (Fibronectin hi),-0.41599526924499675,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (Large elongated),-0.20605095692639294,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (SMA hi Vimentin hi),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (Small circular),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (Small elongated),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Stroma (Vimentin hi),0.5619746455151108,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__T & B cells,-0.20101408331808163,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__T cell,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Apoptotic),0.5108419210305778,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK lo HR hi p53+),-0.23717336255781993,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK lo HR lo),-0.2375710370651049,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK+ HR hi),-0.15395279532331518,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK+ HR lo),-0.04779693484935953,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK+ HR+),0.14899102217342003,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK7+ CK hi Ecadh hi),0.18732038752976063,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (CK7+),1.2711588875827473,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Epithelial low),-0.3470374033688294,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Hypoxic),-0.6279240807484577,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Myoepithelial),0.09292448194986576,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (Proliferative),-0.18178878562301445,True
BC-Jackson2020,response,0,1,1.0,177,42,1,composition__Tumor (p53+ EGFR+),0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__CD20,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__CD3,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__CD44,0.17808682723863314,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__CD45,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__CD68,0.5960364663311827,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Carbonic Anhydrase IX,-0.8864100678432629,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Cytokeratin 19,-0.4459316023580861,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Cytokeratin 5,0.31455703996567913,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Cytokeratin 7,0.2829173925966984,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Cytokeratin 8/18,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__DNA1,-0.3360185533208519,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__EGFR,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Ecadherin,0.6900202846351364,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Estrogen,0.09827772009252761,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Fibronectin,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__GATA3,1.2043654758954963,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Histone H3,-0.1464837151473051,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Keratin 14 (KRT14),-0.3383659648027774,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Ki-67,-0.1491946829271042,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Progesterone Receptor A/B,0.19068867543744486,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__SMA,0.37278178426266534,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Slug,0.6570478688815073,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Twist,0.05830495490281147,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__Vimentin,-0.586187505117318,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__c-Myc,-0.19465323604558507,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__c-erbB-2 - Her2,-0.44148607278818397,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__cleaved PARP,-0.11766774373410914,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__p53,-0.6758972096283098,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__pan Cytokeratin,-0.5349587802206677,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__phospho-S6,0.0,False
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__phospho-mTOR,-0.1823837001673386,True
BC-Jackson2020,response,0,1,1.0,177,42,1,expression__vWF,0.025958856308459767,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__B cell,0.4575014130442338,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Endothelial,-0.12725719866453492,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Macrophage,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (Fibronectin hi),-0.761260176088947,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (Large elongated),-0.3427827996519142,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (SMA hi Vimentin hi),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (Small circular),0.022880837216901248,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (Small elongated),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Stroma (Vimentin hi),0.13953956616773383,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__T & B cells,-0.9211155914990351,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__T cell,0.03575248583686466,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Apoptotic),0.544251950037327,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK lo HR hi p53+),-0.33956763083460395,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK lo HR lo),0.002618269936126855,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK+ HR+),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK7+ CK hi Ecadh hi),-0.04368123129271764,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (CK7+),0.27118979182116815,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Epithelial low),-0.3503872626176191,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Hypoxic),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Myoepithelial),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (Proliferative),-0.2173061354371817,True
BC-Jackson2020,response,0,2,1.0,175,44,1,composition__Tumor (p53+ EGFR+),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__CD20,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__CD3,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__CD44,0.15291231318246432,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__CD45,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__CD68,0.0731232393203372,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Carbonic Anhydrase IX,-0.589061617821764,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Cytokeratin 19,-0.08055903019051693,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Cytokeratin 5,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Cytokeratin 7,0.2481073716153427,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Cytokeratin 8/18,0.004376805874558248,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__DNA1,-0.26771142664555214,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__EGFR,-0.015308361396579689,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Ecadherin,0.534429097345256,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Estrogen,0.08086519433260475,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Fibronectin,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__GATA3,0.7328701725600764,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Histone H3,-0.02596577941373066,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Keratin 14 (KRT14),-0.34908994691332823,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Ki-67,-0.07465354338558057,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Progesterone Receptor A/B,0.3132630800704109,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__SMA,0.938988420819949,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Slug,0.40761202715987893,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Twist,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__Vimentin,-0.3193762689682175,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__c-Myc,-0.48667132364295923,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__c-erbB-2 - Her2,-0.8102825786912625,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__cleaved PARP,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__p53,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__pan Cytokeratin,-0.37284227324883085,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__phospho-Histone,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__phospho-S6,0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__phospho-mTOR,-0.5343620082220827,True
BC-Jackson2020,response,0,2,1.0,175,44,1,expression__vWF,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__B cell,0.14116952360202906,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Endothelial,0.075053853894258,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Macrophage,0.1409104181144469,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (Fibronectin hi),-0.766270297635158,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (Large elongated),-0.365023720580031,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (SMA hi Vimentin hi),0.0692724950042364,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (Small circular),0.26882060482441184,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (Small elongated),0.08927292000932734,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__Stroma (Vimentin hi),0.0695385888898814,True
BC-Jackson2020,response,0,3,1.0,174,45,1,composition__T & B cells,-0.27085237649567756,True
