task,scheme,model,class,feature,n_datasets,mean_abs_shap,median_abs_shap,mean_value_shap_spearman,dataset_direction_agreement
clinical_type,cv,logistic,HR-HER2+,tcn_fraction__5,1,0.04785217300287507,0.04785217300287507,-1.0,1.0
clinical_type,cv,logistic,HR-HER2+,tcn_fraction__4,1,0.007677234116832447,0.007677234116832447,-0.2,1.0
clinical_type,cv,logistic,TripleNeg,tcn_fraction__4,1,0.13624899298194787,0.13624899298194787,-0.9999999999999999,1.0
clinical_type,cv,logistic,TripleNeg,tcn_fraction__2,1,0.06867986200083857,0.06867986200083857,-1.0,1.0
clinical_type,cv,logistic,TripleNeg,tcn_fraction__5,1,0.03642107628907779,0.03642107628907779,1.0,1.0
clinical_type,cv,logistic,TripleNeg,tcn_fraction__3,1,0.03581661538936914,0.03581661538936914,0.8181818181818182,1.0
clinical_type,cv,logistic,TripleNeg,tcn_fraction__1,1,0.010609637949190091,0.010609637949190091,1.0,1.0
hpv_status,cv,logistic,1,tcn_fraction__2,1,0.13209225743051428,0.13209225743051428,-1.0,1.0
hpv_status,cv,logistic,1,tcn_fraction__4,1,0.12208428893093001,0.12208428893093001,1.0,1.0
hpv_status,cv,logistic,1,tcn_fraction__3,1,0.04931370359577978,0.04931370359577978,1.0,1.0
hpv_status,cv,logistic,1,tcn_fraction__1,1,0.02529363065505611,0.02529363065505611,-1.0,1.0
hpv_status,cv,logistic,1,tcn_fraction__5,1,0.021293180476696368,0.021293180476696368,-0.33333333333333326,1.0
immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__5,1,0.2861458999479609,0.2861458999479609,0.9999999999999997,1.0
immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__4,1,0.105225166696624,0.105225166696624,0.9999999999999997,1.0
immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__2,1,0.028261777619857705,0.028261777619857705,-0.9999999999999997,1.0
immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__1,1,0.0,0.0,,
immunotherapy_response,Yale_to_UQ,logistic,1,tcn_fraction__3,1,0.0,0.0,,
immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__5,1,0.3844931694473299,0.3844931694473299,1.0,1.0
immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__4,1,0.11684962591576979,0.11684962591576979,1.0,1.0
immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__2,1,0.03949711117316933,0.03949711117316933,-0.9999999999999997,1.0
immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__1,1,0.0,0.0,,
immunotherapy_response,Yale_to_YaleExt,logistic,1,tcn_fraction__3,1,0.0,0.0,,
pCR_all,cv,logistic,1,tcn_fraction__5,1,0.11181112716089407,0.11181112716089407,1.0,1.0
pCR_all,cv,logistic,1,tcn_fraction__1,1,0.06324244007557009,0.06324244007557009,-1.0,1.0
pCR_all,cv,logistic,1,tcn_fraction__3,1,0.05530551537028613,0.05530551537028613,-1.0,1.0
pCR_all,cv,logistic,1,tcn_fraction__4,1,0.03313200568439158,0.03313200568439158,0.9999999999999999,1.0
pCR_all,cv,logistic,1,tcn_fraction__2,1,0.002949106380391338,0.002949106380391338,1.0,1.0
primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__4,1,0.25947294493217626,0.25947294493217626,1.0,1.0
primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__3,1,0.1874266655070895,0.1874266655070895,-1.0,1.0
primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__1,1,0.08613319655942604,0.08613319655942604,1.0,1.0
primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__2,1,0.06044812594634508,0.06044812594634508,-1.0,1.0
primary_outcome,UPMC_to_DFCI,logistic,1,tcn_fraction__5,1,0.0,0.0,,
primary_outcome,cv,logistic,1,tcn_fraction__4,1,0.11608713858122406,0.11608713858122406,1.0,1.0
primary_outcome,cv,logistic,1,tcn_fraction__3,1,0.10370303023208056,0.10370303023208056,-1.0,1.0
primary_outcome,cv,logistic,1,tcn_fraction__1,1,0.038934142958350244,0.038934142958350244,1.0,1.0
primary_outcome,cv,logistic,1,tcn_fraction__2,1,0.03792440884619874,0.03792440884619874,-1.0,1.0
primary_outcome,cv,logistic,1,tcn_fraction__5,1,0.011832767622525171,0.011832767622525171,-1.850371707708594e-17,1.0
response,cv,logistic,1,tcn_fraction__3,1,0.1699464901787879,0.1699464901787879,-1.0,1.0
response,cv,logistic,1,tcn_fraction__2,1,0.04221998116744972,0.04221998116744972,-0.8333333333333334,1.0
response,cv,logistic,1,tcn_fraction__1,1,0.018709813296974485,0.018709813296974485,0.42857142857142855,1.0
response,cv,logistic,1,tcn_fraction__4,1,0.01672656225414474,0.01672656225414474,1.0,1.0
response,cv,logistic,1,tcn_fraction__5,1,0.013279489519044256,0.013279489519044256,0.7142857142857143,1.0
stage_binary,cv,logistic,1,tcn_fraction__2,1,0.08483036315537992,0.08483036315537992,1.0,1.0
stage_binary,cv,logistic,1,tcn_fraction__5,1,0.038177443663096285,0.038177443663096285,1.0,1.0
stage_binary,cv,logistic,1,tcn_fraction__3,1,0.03803943426493938,0.03803943426493938,-1.0,1.0
stage_binary,cv,logistic,1,tcn_fraction__1,1,0.016706357957827125,0.016706357957827125,-1.0,1.0
stage_binary,cv,logistic,1,tcn_fraction__4,1,0.004671746310373825,0.004671746310373825,-0.6,1.0
