dataset,task,seed,fold,lambda,n_train,n_val,class,feature,coefficient,selected
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Small elongated),0.25950093120161405,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Stroma (Vimentin hi),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,T & B cells,-1.0755681962722654,True
BC-Jackson2020,response,0,2,1.0,175,44,1,T cell,0.046401853773077,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Apoptotic),0.42746732049710856,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Basal CK),0.0,False
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK lo HR hi p53+),-0.3462090959211481,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK lo HR lo),-0.06692442765054195,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK+ HR hi),-0.0749086442448476,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK+ HR lo),0.023620321718497487,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK+ HR+),-0.14956423691496412,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK7+ CK hi Ecadh hi),0.03634960181400086,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (CK7+),0.2830690763840369,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Epithelial low),-0.2658082128965087,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Hypoxic),-0.23433589159467136,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Myoepithelial),0.09235909303985573,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (Proliferative),-0.19732556927361755,True
BC-Jackson2020,response,0,2,1.0,175,44,1,Tumor (p53+ EGFR+),-0.020328547446852682,True
BC-Jackson2020,response,0,3,1.0,174,45,1,B cell,0.07010463264610324,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Endothelial,0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,Macrophage,-0.08194371696906882,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (Fibronectin hi),-0.5080756257087646,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (Large elongated),-0.4009022819080496,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (SMA hi Vimentin hi),0.23327064927086166,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (Small circular),0.39199819302691846,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (Small elongated),0.32709303206406487,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Stroma (Vimentin hi),-0.17799771222546817,True
BC-Jackson2020,response,0,3,1.0,174,45,1,T & B cells,-0.44311175572812794,True
BC-Jackson2020,response,0,3,1.0,174,45,1,T cell,0.008525475677951602,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Apoptotic),0.6488654678734492,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Basal CK),-0.09337217177304974,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK lo HR hi p53+),-0.3573643005600061,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK lo HR lo),-0.36598846240736815,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK+ HR hi),0.037676478260721735,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK+ HR lo),0.0,False
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK+ HR+),-0.1800794941202376,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK7+ CK hi Ecadh hi),0.22391424444524605,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (CK7+),0.14972338043780248,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Epithelial low),-0.2715262492809334,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Hypoxic),-0.34185573036231215,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Myoepithelial),0.18905118692707384,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (Proliferative),-0.1517579360578995,True
BC-Jackson2020,response,0,3,1.0,174,45,1,Tumor (p53+ EGFR+),-0.31191846207755625,True
BC-Jackson2020,response,0,4,1.0,171,48,1,B cell,0.41774140508365654,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Endothelial,0.222834569365463,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Macrophage,0.018300559994882188,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (Fibronectin hi),-0.302575241689577,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (Large elongated),-0.5046284594802162,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (SMA hi Vimentin hi),0.3014041812580637,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (Small circular),0.17768965214554613,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (Small elongated),0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,Stroma (Vimentin hi),-0.10281109261314142,True
BC-Jackson2020,response,0,4,1.0,171,48,1,T & B cells,-0.21193130788759082,True
BC-Jackson2020,response,0,4,1.0,171,48,1,T cell,0.029730308426503736,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Apoptotic),0.3887595141134812,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (Basal CK),-0.04620756244033697,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK lo HR hi p53+),-0.2662501622578329,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK lo HR lo),-0.3460759798577724,True
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK+ HR hi),0.0,False
BC-Jackson2020,response,0,4,1.0,171,48,1,Tumor (CK+ HR lo),0.0030582782672178583,True
