dataset,task,scheme,metric,mean,sd,n,score
nsclc_gnn_hoebel2026,OS,cv,c_index,,,15,nan +/- nan
nsclc_gnn_hoebel2026,stage_binary,cv,auc_roc,,,15,nan +/- nan
