task,domain,name,majority,top_markers,mean_frac_pos,mean_frac_neg,mean_diff,auc
motif_cd8_clustering,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.04854921105391861,0.06168095534984043,-0.013131744295921823,0.5781898966483144
motif_cd8_clustering,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.30482984506760386,0.32674709138840546,-0.02191724632080161,0.48791413116970933
motif_cd8_clustering,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.15831627455364586,0.20191309762416368,-0.04359682307051782,0.5188471940500339
motif_tumor_stroma_mixing,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.44461365793247504,0.2544401350125827,0.1901735229198923,0.6643084609370531
motif_tumor_stroma_mixing,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.1544119797619762,0.1438940348834037,0.010517944878572522,0.4980549569992945
motif_tumor_stroma_mixing,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.13430716490221753,0.1416117369972082,-0.007304572094990663,0.5020880608684045
motif_tumor_stroma_mixing,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.03101910502598319,0.03951853469532783,-0.008499429669344642,0.4574855551953624
motif_tumor_stroma_mixing,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.0012375776987489325,0.01090986434772927,-0.009672286648980339,0.48454453576400147
motif_tumor_stroma_mixing,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.048340317960688495,0.05854491059427654,-0.010204592633588049,0.5110886520089243
motif_tumor_stroma_mixing,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.04662059024465028,0.07382020028530231,-0.02719961004065203,0.4052649644362236
motif_tumor_stroma_mixing,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.0006940895932893079,0.033284699301250636,-0.03259060970796133,0.37794855170572644
motif_tumor_stroma_mixing,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.055467035957767565,0.10655903147225544,-0.05109199551448788,0.4037108369405617
motif_tumor_stroma_mixing,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.08328848092220346,0.1374168524106633,-0.05412837148845982,0.398018725806144
motif_interface_immune,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.18178275424813417,0.15595184115952324,0.025830913088610935,0.5918567181185351
motif_interface_immune,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.3641563910227588,0.34542599541543284,0.018730395607325978,0.5276398013138921
motif_interface_immune,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.12005098526623688,0.11069219670858904,0.009358788557647837,0.5508732574907867
motif_interface_immune,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.004622332007643304,0.0048577807773061395,-0.00023544876966283528,0.5085011305168332
motif_interface_immune,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.01941497030191865,0.019715515259814097,-0.0003005449578954468,0.4725560362477523
motif_interface_immune,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.11128232594216783,0.1135192680502442,-0.002236942108076373,0.5188627178692873
motif_interface_immune,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.041607339583972315,0.050831238425610714,-0.009223898841638399,0.476722035286368
motif_interface_immune,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.02672834239729735,0.03618324404920367,-0.009454901651906322,0.5000267051220424
motif_interface_immune,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.08501359408971834,0.09595633626714441,-0.010942742177426065,0.5321084584023216
motif_interface_immune,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.045340965140152296,0.06686658388713168,-0.021525618746979384,0.4778436504121491
motif_immune_exclusion,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.08051667102419023,0.029063131111643502,0.051453539912546725,0.6102033848705067
motif_immune_exclusion,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.12389040105745895,0.07312860518411965,0.0507617958733393,0.6047041896307858
motif_immune_exclusion,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.11069545471326046,0.082918952823019,0.02777650189024146,0.5201677803248305
motif_immune_exclusion,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.038550691232180745,0.012178670195839507,0.026372021036341238,0.5694532507437936
motif_immune_exclusion,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.0317559314027976,0.01679678643920655,0.014959144963591051,0.608849924401307
motif_immune_exclusion,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.007187426188774347,0.011296575337199723,-0.004109149148425376,0.5042676681461249
motif_immune_exclusion,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.05096072893218102,0.05686104927459855,-0.005900320342417532,0.5052187484758329
motif_immune_exclusion,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.13232152495543797,0.1538763298972497,-0.021554804941811723,0.4688826025459689
motif_immune_exclusion,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.14285251008536395,0.17679151968011544,-0.03393900959475149,0.4619689801492465
motif_immune_exclusion,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.2812686604083547,0.3870883800570084,-0.10581971964865372,0.40514802711798276
motif_t_tumor_mixing,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.4441940158732025,0.3585302501298586,0.08566376574334389,0.554349173553719
motif_t_tumor_mixing,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.08451649504591026,0.06710855340880725,0.017407941637103005,0.4610330578512397
motif_t_tumor_mixing,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.014799854799668706,0.0047248821361516825,0.010074972663517024,0.4940909090909091
motif_t_tumor_mixing,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.13545000940486596,0.13307841862095415,0.0023715907839118033,0.42363636363636364
motif_t_tumor_mixing,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.012942904210547088,0.012565942597334021,0.00037696161321306744,0.49332644628099176
motif_t_tumor_mixing,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.1475524734982015,0.14898451771108595,-0.0014320442128844535,0.4954648760330579
motif_t_tumor_mixing,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.012747833648822912,0.01818246055951857,-0.005434626910695659,0.41589876033057854
motif_t_tumor_mixing,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.03130528409899936,0.042668966552934895,-0.011363682453935535,0.39134297520661165
motif_t_tumor_mixing,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.05008662142238529,0.06807565863243349,-0.0179890372100482,0.47640495867768595
motif_t_tumor_mixing,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.06640450799739642,0.14608034965092132,-0.0796758416535249,0.3300206611570248
motif_cd8_tumor_contact,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.4494328099315539,0.32376902137002694,0.12566378856152693,0.5980756163851679
motif_cd8_tumor_contact,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.1495998022268639,0.13305981896712502,0.016539983259738877,0.4773587652882936
motif_cd8_tumor_contact,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.01491781805828819,0.009617592982898063,0.005300225075390127,0.4957289846631722
motif_cd8_tumor_contact,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.016054805140962535,0.02255126557989235,-0.006496460438929815,0.4699694234129295
motif_cd8_tumor_contact,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.07652851561854357,0.0833109680802962,-0.0067824524617526305,0.4514293341098815
motif_cd8_tumor_contact,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.14368368386302888,0.15458060687581876,-0.010896923012789883,0.4866530770724131
motif_cd8_tumor_contact,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.00981302100839132,0.02320024078052168,-0.013387219772130358,0.3815642593671132
motif_cd8_tumor_contact,9,utag_domain::AR^{+}LAR__09,AR^{+}LAR,AR;CK8/18;GATA3;panCK;c-PARP,0.051866641700189495,0.0704940633355492,-0.0186274216353597,0.45877014172005426
motif_cd8_tumor_contact,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.0208470189586825,0.05045157110852804,-0.02960455214984554,0.3499563191613279
motif_cd8_tumor_contact,1,utag_domain::Fibroblasts__01,Fibroblasts,H3;pH2AX;Caveolin-1;Vimentin;DNA1,0.06725588349349569,0.12896485091934373,-0.06170896742584804,0.34083187730537756
motif_macrophage_tumor_niche,3,utag_domain::Vimentin^{+}EMT__03,Vimentin^{+}EMT,Calponin;CA9;panCK;CK5/14;Caveolin-1,0.37576457365602484,0.32978667937353934,0.0459778942824855,0.5178142193258908
motif_macrophage_tumor_niche,8,utag_domain::Basal__08,Basal,Ki67;CK5/14;TOX;c-PARP;panCK,0.18410492763500463,0.13891346061085522,0.04519146702414942,0.5539501095026974
motif_macrophage_tumor_niche,4,utag_domain::PD-L1^{+}GZMB^{+}__04,PD-L1^{+}GZMB^{+},PD-L1 (73-10);PD-L1 (SP142);GZMB;CD8;T-bet,0.01759371999543551,0.00403842526387735,0.01355529473155816,0.5042465680252123
motif_macrophage_tumor_niche,2,utag_domain::Treg__02,Treg,ICOS;FOXP3;CD11c;CD4;Helios,0.09050501555869332,0.07883397534513562,0.011671040213557707,0.5152636077132632
motif_macrophage_tumor_niche,5,utag_domain::CD4^+TCF1^+T__05,CD4^+TCF1^+T,CD45;CD4;CD3;TCF1;ICOS,0.017917960949596027,0.01408308569032486,0.0038348752592711668,0.4791544255114577
motif_macrophage_tumor_niche,7,utag_domain::CD79a^+Plasma__07,CD79a^+Plasma,CD79a;CD3;CD45;CD31;CD8,0.14753117360760498,0.1443973092105709,0.0031338643970340863,0.46222156936061104
motif_macrophage_tumor_niche,6,utag_domain::CD56^{+}NE__06,CD56^{+}NE,CD56;CK5/14;panCK;Vimentin;H3,0.006549584924479826,0.006414485254722697,0.00013509966975712873,0.4920810854121041
motif_macrophage_tumor_niche,0,utag_domain::CD79a^+Plasma__00,CD79a^+Plasma,DNA2;DNA1;Vimentin;PDGFRB;CD163,0.04368835359828974,0.04981895711712729,-0.006130603518837548,0.444340580097217
