region_id,domain_00,domain_01,domain_02,domain_03,domain_04,domain_05,domain_06,domain_07,domain_08,domain_09
NTImg0011,0.0009433962264150943,0.24716981132075472,0.0009433962264150943,0.062264150943396226,0.0,0.006603773584905661,0.0,0.02169811320754717,0.0,0.660377358490566
NTImg0012,0.10403726708074534,0.5372670807453416,0.009316770186335404,0.2546583850931677,0.0,0.021739130434782608,0.0,0.06055900621118013,0.012422360248447204,0.0
NTImg0013,0.0038880248833592537,0.5793157076205288,0.017107309486780714,0.37169517884914466,0.0,0.0,0.0,0.01166407465007776,0.016329704510108865,0.0
NTImg0014,0.00196078431372549,0.12156862745098039,0.026470588235294117,0.6980392156862745,0.0,0.0,0.0,0.12549019607843137,0.026470588235294117,0.0
NTImg0015,0.0,0.2679830747531735,0.012693935119887164,0.6318758815232722,0.0,0.0,0.0,0.05782792665726375,0.029619181946403384,0.0
NTImg0016,0.0,0.39937106918238996,0.0,0.5828092243186582,0.0,0.0,0.0,0.0020964360587002098,0.015723270440251572,0.0
NTImg0017,0.015169194865810968,0.5087514585764294,0.014002333722287048,0.33605600933488916,0.0,0.0,0.0,0.10385064177362893,0.022170361726954493,0.0
NTImg0018,0.010344827586206896,0.6022988505747127,0.035632183908045977,0.1735632183908046,0.0,0.008045977011494253,0.0,0.08275862068965517,0.08735632183908046,0.0
NTImg0019,0.14285714285714285,0.20343580470162748,0.018083182640144666,0.30560578661844484,0.0,0.039783001808318265,0.0,0.20343580470162748,0.0867992766726944,0.0
NTImg0020,0.0244173140954495,0.5771365149833518,0.0011098779134295228,0.1753607103218646,0.0,0.0,0.0,0.06437291897891231,0.15760266370699222,0.0
NTImg0021,0.042787286063569685,0.3270171149144254,0.005501222493887531,0.004889975550122249,0.0,0.0,0.3973105134474328,0.0012224938875305623,0.22127139364303178,0.0
NTImg0022,0.0014652014652014652,0.19047619047619047,0.0007326007326007326,0.004395604395604396,0.0,0.0,0.6835164835164835,0.0,0.11941391941391942,0.0
NTImg0023,0.4672131147540984,0.35792349726775957,0.015027322404371584,0.00546448087431694,0.0,0.01092896174863388,0.0,0.14344262295081966,0.0,0.0
NTImg0025,0.10236220472440945,0.7795275590551181,0.0,0.11811023622047244,0.0,0.0,0.0,0.0,0.0,0.0
NTImg0026,0.02881844380403458,0.9481268011527377,0.0,0.020172910662824207,0.0,0.0,0.0,0.002881844380403458,0.0,0.0
NTImg0027,0.028790786948176585,0.6535508637236085,0.005758157389635317,0.0028790786948176585,0.0,0.0,0.11900191938579655,0.003838771593090211,0.18618042226487524,0.0
NTImg0028,0.15653495440729484,0.6367781155015197,0.00911854103343465,0.0060790273556231,0.0,0.0,0.05927051671732523,0.0060790273556231,0.12613981762917933,0.0
NTImg0029,0.00967741935483871,0.9516129032258065,0.0,0.03870967741935484,0.0,0.0,0.0,0.0,0.0,0.0
NTImg0030,0.11407766990291263,0.7985436893203883,0.0,0.02669902912621359,0.0,0.0,0.0,0.0024271844660194173,0.05825242718446602,0.0
NTImg0041,0.0,0.007339449541284404,0.8330275229357799,0.007339449541284404,0.001834862385321101,0.10825688073394496,0.0,0.031192660550458717,0.007339449541284404,0.003669724770642202
NTImg0042,0.0,0.0,0.3276283618581907,0.05256723716381418,0.0012224938875305623,0.0,0.0,0.2310513447432763,0.022004889975550123,0.36552567237163813
NTImg0043,0.00258732212160414,0.0,0.06727037516170763,0.1203104786545925,0.0,0.0,0.0,0.13971539456662355,0.015523932729624839,0.6545924967658473
NTImg0044,0.0,0.0,0.6773722627737226,0.06715328467153285,0.00145985401459854,0.00145985401459854,0.0,0.23065693430656933,0.017518248175182483,0.004379562043795621
NTImg0045,0.0,0.0,0.4735945485519591,0.02555366269165247,0.0,0.0017035775127768314,0.0,0.08006814310051108,0.07666098807495741,0.3424190800681431
NTImg0046,0.0,0.005025125628140704,0.23869346733668342,0.05778894472361809,0.0,0.002512562814070352,0.0,0.08793969849246232,0.03015075376884422,0.5778894472361809
NTImg0047,0.0028089887640449437,0.0449438202247191,0.24719101123595505,0.15168539325842698,0.0,0.0028089887640449437,0.0,0.27247191011235955,0.03089887640449438,0.24719101123595505
NTImg0048,0.004338394793926247,0.020607375271149676,0.368763557483731,0.007592190889370932,0.0032537960954446853,0.0021691973969631237,0.0,0.14967462039045554,0.0010845986984815619,0.44251626898047725
NTImg0049,0.0030441400304414,0.0136986301369863,0.4124809741248097,0.0121765601217656,0.0,0.0015220700152207,0.0,0.1202435312024353,0.0213089802130898,0.4155251141552511
NTImg0050,0.002136752136752137,0.019230769230769232,0.1858974358974359,0.07264957264957266,0.004273504273504274,0.002136752136752137,0.0,0.23504273504273504,0.027777777777777776,0.45085470085470086
NTImg0061,0.42782738095238093,0.2857142857142857,0.0,0.002976190476190476,0.001488095238095238,0.07514880952380952,0.0,0.03720238095238095,0.0,0.16964285714285715
NTImg0062,0.13528990694345025,0.00572655690765927,0.15175375805297064,0.0071581961345740875,0.0,0.010737294201861132,0.0,0.14244810307802433,0.5468861846814602,0.0
NTImg0063,0.04265791632485644,0.05824446267432322,0.0844954881050041,0.09762100082034454,0.0,0.005742411812961444,0.0,0.2387202625102543,0.4725184577522559,0.0
NTImg0064,0.09368191721132897,0.003812636165577342,0.07570806100217865,0.007080610021786492,0.0016339869281045752,0.6633986928104575,0.0,0.13344226579520696,0.020697167755991286,0.0005446623093681918
NTImg0065,0.007971014492753623,0.02391304347826087,0.12608695652173912,0.11521739130434783,0.002173913043478261,0.014492753623188406,0.0,0.2,0.5101449275362319,0.0
NTImg0066,0.2624254473161034,0.05069582504970179,0.09542743538767395,0.016898608349900597,0.0,0.007952286282306162,0.0,0.16898608349900596,0.3976143141153082,0.0
NTImg0067,0.2609351432880845,0.01885369532428356,0.07767722473604827,0.0007541478129713424,0.006787330316742082,0.40120663650075417,0.0,0.07239819004524888,0.16063348416289594,0.0007541478129713424
NTImg0068,0.5855263157894737,0.07894736842105263,0.05921052631578947,0.006578947368421052,0.013157894736842105,0.1,0.0,0.06447368421052632,0.09210526315789473,0.0
NTImg0069,0.16363636363636364,0.19924242424242425,0.023484848484848483,0.003787878787878788,0.0015151515151515152,0.05075757575757576,0.0,0.05454545454545454,0.021212121212121213,0.4818181818181818
NTImg0070,0.10869565217391304,0.4855072463768116,0.018115942028985508,0.14130434782608695,0.0,0.03260869565217391,0.0,0.213768115942029,0.0,0.0
