region_id,domain_00,domain_01,domain_02,domain_03,domain_04,domain_05,domain_06,domain_07,domain_08,domain_09
BaselTMA_SP41_100_X15Y5,0.45446880269814505,0.0,0.0,0.11242270938729623,0.0,0.0,0.0,0.0,0.28976953344575607,0.1433389544688027
BaselTMA_SP41_101_X10Y8,0.9041654529565978,0.0,0.0,0.0052432274978153216,0.0,0.0,0.0,0.0,0.07049228080396155,0.0200990387416254
BaselTMA_SP41_104_X7Y4,0.0,0.0,0.20204081632653062,0.28775510204081634,0.0,0.0,0.0,0.0,0.07551020408163266,0.4346938775510204
BaselTMA_SP41_104_X8Y4_175,0.42857142857142855,0.0,0.0027159152634437804,0.24769147202607278,0.0,0.0,0.19011406844106463,0.0,0.044541010320478004,0.08636610537751223
BaselTMA_SP41_104_X8Y4_233,0.16715542521994134,0.0,0.0,0.007331378299120235,0.0,0.0,0.0,0.0,0.6813294232649071,0.1441837732160313
BaselTMA_SP41_106_X2Y9,0.24102352455633513,0.0,0.0033016921172100704,0.021460998761865455,0.0,0.0,0.031366075113495664,0.0,0.44242674370614943,0.2604209657449443
BaselTMA_SP41_112_X5Y8,0.5736248718824736,0.0,0.0,0.08336180389477281,0.0020498804236419544,0.0,0.0,0.0,0.13290058079945336,0.20806286299965834
BaselTMA_SP41_114_X13Y4,0.6810790835181079,0.0,0.0014781966001478197,0.032520325203252036,0.0,0.0,0.16851441241685144,0.04841093865484109,0.06762749445676275,0.0003695491500369549
BaselTMA_SP41_114_X14Y4,0.006172839506172839,0.0,0.15123456790123457,0.027777777777777776,0.0,0.0,0.0,0.0,0.4382716049382716,0.3765432098765432
BaselTMA_SP41_117_X13Y3,0.328740157480315,0.0008748906386701663,0.0004374453193350831,0.013779527559055118,0.0,0.0,0.5999562554680665,0.0,0.05533683289588801,0.0008748906386701663
BaselTMA_SP41_117_X14Y3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5112107623318386,0.48878923766816146
BaselTMA_SP41_11_X13Y7,0.6407447973713034,0.0,0.007667031763417305,0.140197152245345,0.0,0.05410733844468784,0.0019715224534501644,0.0,0.15268346111719605,0.002628696604600219
BaselTMA_SP41_126_X14Y7,0.4000691562932227,0.0,0.0,0.045988934993084374,0.0,0.0,0.0,0.0,0.5421853388658368,0.011756569847856155
BaselTMA_SP41_129_X7Y8,0.49571673329525984,0.0,0.047401484865790974,0.03769274700171331,0.0,0.0,0.18332381496287836,0.0028555111364934323,0.0885208452312964,0.14448886350656767
BaselTMA_SP41_133_X3Y6,0.36714044808479884,0.0,0.0,0.011804384485666104,0.0,0.0,0.0,0.15104794025536014,0.3688267887256083,0.10118043844856661
BaselTMA_SP41_134_X3Y8,0.022614201718679332,0.0,0.0009045680687471732,0.45906829488919043,0.0,0.0004522840343735866,0.0,0.0,0.30800542740841247,0.208955223880597
BaselTMA_SP41_135_X8Y5,0.8889218009478673,0.0,0.0002962085308056872,0.0005924170616113745,0.0,0.0,0.01569905213270142,0.0,0.054502369668246446,0.03998815165876777
BaselTMA_SP41_141_X11Y2,0.8541151536559519,0.0,0.0,0.03461674320028259,0.0,0.035676439420699396,0.0,0.0,0.07559166372306605,0.0
BaselTMA_SP41_141_X12Y2,0.2514705882352941,0.0,0.013235294117647059,0.0029411764705882353,0.0,0.0,0.052941176470588235,0.0,0.38823529411764707,0.2911764705882353
BaselTMA_SP41_14_X1Y8,0.14966186415760072,0.0,0.008232872684504558,0.6739194354601588,0.0,0.0005880623346074683,0.05321964128197589,0.0,0.03851808291678918,0.07586004116436343
BaselTMA_SP41_153_X7Y5,0.06792452830188679,0.0,0.009056603773584906,0.5207547169811321,0.0,0.0,0.00830188679245283,0.0,0.004528301886792453,0.38943396226415095
BaselTMA_SP41_159_X11Y4,0.0,0.0,0.0,0.032362459546925564,0.0,0.0,0.0,0.0,0.22653721682847897,0.7411003236245954
