task,kind,n_folds,mean_auc_ridge,mean_auc_lasso,frac_lasso_passed,frac_shap_passed,frac_faithfulness_passed,frac_fold_passed,mean_drop_top,mean_drop_random,control_frac_passed,verdict
motif_tumor_high,control,15,0.9775133564072367,0.9977991577381154,1.0,1.0,1.0,1.0,0.08594785257099136,0.0024243626841028653,1.0,pass_control
motif_cd8_high,control,15,0.9919942222306297,0.9989399273098141,1.0,1.0,1.0,1.0,0.2916205527047618,0.0008969203070871974,1.0,pass_control
motif_cd8_clustering,spatial,15,0.9218439330738416,0.9522272847784266,1.0,1.0,1.0,1.0,0.25878878740641154,0.020187711680016155,1.0,pass_spatial
motif_tumor_stroma_mixing,spatial,15,0.9224908169487712,0.9415868529659144,1.0,0.8666666666666667,1.0,0.8666666666666667,0.15504537333185678,0.004082371938508437,1.0,pass_spatial
motif_interface_immune,spatial,15,0.8607729891317456,0.8560752056104478,0.4666666666666667,0.8666666666666667,1.0,0.4666666666666667,0.2313927485271944,0.03606778128152299,1.0,abundance_only_or_fail
motif_immune_exclusion,spatial,15,0.932807913796936,0.9267588617392272,0.4666666666666667,0.8666666666666667,1.0,0.4666666666666667,0.1950260293530608,0.03536087941829293,1.0,abundance_only_or_fail
