region_id,utag_mean__CD117,utag_std__CD117,utag_mean__CD11b,utag_std__CD11b,utag_mean__CD11c,utag_std__CD11c,utag_mean__CD14,utag_std__CD14,utag_mean__CD15,utag_std__CD15,utag_mean__CD163,utag_std__CD163,utag_mean__CD20,utag_std__CD20,utag_mean__CD31,utag_std__CD31,utag_mean__CD38,utag_std__CD38,utag_mean__CD3e,utag_std__CD3e,utag_mean__CD4,utag_std__CD4,utag_mean__CD45,utag_std__CD45,utag_mean__CD45RA,utag_std__CD45RA,utag_mean__CD45RO,utag_std__CD45RO,utag_mean__CD56,utag_std__CD56,utag_mean__CD68,utag_std__CD68,utag_mean__CD69,utag_std__CD69,utag_mean__CD8,utag_std__CD8,utag_mean__DAPI,utag_std__DAPI,utag_mean__FoxP3,utag_std__FoxP3,utag_mean__GranzymeB,utag_std__GranzymeB,utag_mean__HLA-DR,utag_std__HLA-DR,utag_mean__ICOS,utag_std__ICOS,utag_mean__Ki67,utag_std__Ki67,utag_mean__PD1,utag_std__PD1,utag_mean__PDL1,utag_std__PDL1,utag_mean__PanCK,utag_std__PanCK,utag_mean__Vimentin,utag_std__Vimentin
UPMC_c001_v001_r001_reg001,4.008586406707764,0.3778999149799347,4.588250637054443,0.744333803653717,3.911318778991699,0.39099302887916565,4.075226783752441,0.8125351667404175,4.679037570953369,1.020017385482788,4.476885795593262,0.8722440004348755,4.11937141418457,0.5062323212623596,4.126553058624268,0.646091103553772,3.6775102615356445,0.20350989699363708,3.6884536743164062,0.39924949407577515,4.6859025955200195,0.5029566287994385,5.024195194244385,0.8043366074562073,4.49302339553833,0.3622001111507416,4.221846103668213,0.7424719929695129,4.37748384475708,0.42766618728637695,4.9837646484375,0.5718408226966858,4.256849765777588,0.3745602071285248,4.1617326736450195,0.7165625691413879,6.607295989990234,0.5108943581581116,3.8083200454711914,0.453828901052475,3.118147850036621,0.40318748354911804,4.066083908081055,0.6516240835189819,3.8061819076538086,0.18876796960830688,4.510831356048584,0.5154449939727783,3.242736339569092,0.3777385354042053,3.4312074184417725,0.5130250453948975,5.5960187911987305,1.3071372509002686,6.120993137359619,0.7948030233383179
UPMC_c001_v001_r001_reg002,3.7761423587799072,0.27383747696876526,4.095261096954346,0.5692015886306763,4.082405090332031,0.16164670884609222,3.6158456802368164,0.5671159625053406,4.626833915710449,0.8699155449867249,4.78421688079834,0.9453039765357971,4.097418785095215,0.38971763849258423,4.258292198181152,0.680809497833252,3.9910378456115723,0.18422254920005798,3.207972288131714,0.5284136533737183,4.496554851531982,0.39798977971076965,4.781696796417236,0.5821102857589722,4.271615505218506,0.25655680894851685,3.8843698501586914,0.6888231635093689,4.05598783493042,0.3501476049423218,4.998714923858643,0.4998179078102112,3.8962864875793457,0.3676566779613495,3.5499744415283203,0.8587173819541931,6.632819652557373,0.36928558349609375,3.4559240341186523,0.5264688730239868,3.0661284923553467,0.18240854144096375,3.799863576889038,0.3595398962497711,3.8849849700927734,0.20088811218738556,4.731791019439697,0.9384853839874268,3.086333990097046,0.16756412386894226,3.1156277656555176,0.32102131843566895,6.297552585601807,1.177471399307251,4.921533107757568,1.5038881301879883
UPMC_c001_v001_r001_reg004,3.8644402027130127,0.2468770295381546,3.89083194732666,0.6048425436019897,3.91802716255188,0.19884422421455383,4.021302700042725,0.5135605335235596,4.540070056915283,0.745637059211731,5.759934425354004,0.9070770740509033,4.276516914367676,0.41367682814598083,4.324143886566162,0.4919375479221344,3.382399082183838,0.2250995635986328,3.6825249195098877,0.6106509566307068,4.641881942749023,0.4610598683357239,5.073448181152344,0.7039920091629028,3.9640705585479736,0.364987850189209,3.7866811752319336,0.8656928539276123,3.574409008026123,0.28680506348609924,5.1268086433410645,0.39047273993492126,2.8858449459075928,0.37161222100257874,4.776651859283447,1.0377541780471802,6.646838665008545,0.3556177020072937,3.040821075439453,0.6017822027206421,3.086350440979004,0.2450687736272812,4.113589763641357,0.6598053574562073,3.544142007827759,0.19863666594028473,4.882490158081055,0.7848409414291382,3.0660974979400635,0.17519839107990265,2.9885921478271484,0.18135234713554382,7.007288455963135,0.9692642092704773,4.980478286743164,1.2290607690811157
UPMC_c001_v001_r001_reg005,3.9155874252319336,0.25982755422592163,4.548294544219971,0.970944344997406,3.943871259689331,0.26267722249031067,4.5926408767700195,0.6090307235717773,4.784957408905029,1.1087127923965454,3.872201442718506,0.8001552820205688,4.255886077880859,0.6420727372169495,4.2530999183654785,0.7974031567573547,3.29805850982666,0.1932564228773117,3.8187432289123535,0.7414883375167847,4.808763027191162,0.6212312579154968,5.610285758972168,0.7939342260360718,4.241433143615723,0.4064541757106781,4.6157755851745605,1.0134522914886475,3.667642831802368,0.3889853060245514,5.617869853973389,0.6400614380836487,2.9259655475616455,0.6154203414916992,4.595942497253418,1.3593164682388306,6.299687385559082,0.4233616292476654,3.282684564590454,0.579238772392273,3.0953564643859863,0.2936665713787079,4.6201958656311035,0.7982004880905151,3.547177314758301,0.30235555768013,4.387150287628174,1.0251426696777344,3.1145763397216797,0.23133879899978638,3.2893974781036377,0.4020552933216095,4.866320610046387,1.380737543106079,6.379312515258789,0.8016479015350342
UPMC_c001_v001_r001_reg006,3.7788474559783936,0.19260399043560028,4.483207702636719,1.0696362257003784,3.947415590286255,0.2122245579957962,3.698230028152466,0.5444701313972473,5.7906084060668945,1.2403697967529297,5.134463787078857,0.6056552529335022,4.5739336013793945,0.46469295024871826,4.1852288246154785,0.3601398468017578,3.154508352279663,0.17716343700885773,3.135615110397339,0.21485204994678497,4.212846755981445,0.34430575370788574,4.725344181060791,0.6284118294715881,3.9495849609375,0.29692342877388,3.149435043334961,0.7333784103393555,3.6396117210388184,0.34467360377311707,4.9681196212768555,0.4153480529785156,3.051633834838867,0.4414159953594208,3.8657991886138916,0.5774513483047485,5.988356590270996,0.5101593732833862,3.2710156440734863,0.4862558841705322,3.042956590652466,0.1623353362083435,3.7040607929229736,0.5911485552787781,3.3466227054595947,0.13385379314422607,4.983676433563232,0.8916347026824951,3.011901617050171,0.13323387503623962,3.01170015335083,0.21253237128257751,6.721774101257324,0.5745320916175842,4.5279340744018555,1.315999984741211
UPMC_c001_v001_r001_reg007,3.899028778076172,0.22578388452529907,4.885887145996094,1.3169764280319214,3.872621774673462,0.31594592332839966,4.075952053070068,0.6941652894020081,6.046627521514893,1.3550496101379395,3.9335851669311523,0.8273198008537292,4.325380325317383,0.5596998929977417,4.100745677947998,0.7266279458999634,3.2982869148254395,0.26098328828811646,3.494234085083008,0.5386934280395508,4.523626327514648,0.4828365743160248,5.009729862213135,0.9391754269599915,4.033313751220703,0.36555910110473633,3.4727091789245605,0.9403682351112366,3.562008857727051,0.3795367479324341,5.32967472076416,0.5784032344818115,2.8528048992156982,0.5573428273200989,3.9747722148895264,1.01517653465271,6.124441146850586,0.39870256185531616,3.308666229248047,0.6556624174118042,3.1544854640960693,0.38618728518486023,3.8993115425109863,0.7115854024887085,3.4064416885375977,0.21904076635837555,4.0765228271484375,0.6581862568855286,3.148855447769165,0.3318915367126465,3.181673765182495,0.335014283657074,5.022830009460449,1.5608280897140503,6.044794082641602,1.2826112508773804
UPMC_c001_v001_r001_reg008,3.804424285888672,0.2675834596157074,4.322258472442627,0.610568642616272,3.8985800743103027,0.2837417423725128,3.7835588455200195,0.5978687405586243,4.4139204025268555,0.6819766759872437,3.973045825958252,0.8858582973480225,4.250791072845459,0.6089289784431458,4.331794261932373,0.8218116760253906,3.1913580894470215,0.1927860975265503,3.4268410205841064,0.514014482498169,4.520252227783203,0.5672031044960022,4.749849796295166,0.915045440196991,4.146841049194336,0.41447117924690247,3.8209030628204346,0.7986036539077759,3.8936946392059326,0.2977665662765503,4.889134407043457,0.6242853403091431,3.4085514545440674,0.5076825022697449,4.1953935623168945,0.7717851996421814,6.660309314727783,0.5007089376449585,3.830827236175537,0.34428906440734863,3.0715138912200928,0.2100946605205536,3.8155252933502197,0.5729653835296631,3.276150703430176,0.15737058222293854,4.149818420410156,0.7145676016807556,3.1007752418518066,0.16092827916145325,3.160386323928833,0.25579705834388733,5.458896160125732,1.381867527961731,6.1623101234436035,1.2034624814987183
UPMC_c001_v001_r001_reg009,3.8513987064361572,0.26203402876853943,4.721395969390869,1.5607895851135254,3.892354965209961,0.24341298639774323,4.818766117095947,1.0301989316940308,5.868780136108398,1.386624813079834,4.217437267303467,0.8609049320220947,4.541435718536377,0.674801766872406,4.359034538269043,0.6875106692314148,3.1548871994018555,0.28946149349212646,3.7825355529785156,0.6927598118782043,4.798780918121338,0.6458390951156616,5.576414108276367,0.8769906163215637,3.769545793533325,0.5302691459655762,3.8344075679779053,1.3835679292678833,3.498446464538574,0.5519231557846069,5.6600751876831055,0.6098764538764954,2.2562291622161865,0.7419158816337585,3.8451597690582275,1.2601972818374634,6.384903907775879,0.3850623667240143,2.953680992126465,0.6461939215660095,3.324145555496216,0.44555649161338806,4.71033239364624,0.88518887758255,3.364236831665039,0.35776934027671814,4.328700542449951,1.099184274673462,3.2412328720092773,0.33153823018074036,3.272627353668213,0.34422191977500916,5.371494770050049,1.3890312910079956,6.10971212387085,1.2835297584533691
UPMC_c001_v001_r001_reg010,2.9739151000976562,0.9809513092041016,4.776059627532959,2.0716593265533447,3.252835512161255,0.6867846250534058,4.694085121154785,0.7253926396369934,7.0147600173950195,1.2648749351501465,3.3505117893218994,0.32365837693214417,4.223995208740234,0.4477177560329437,4.118413925170898,0.6230301260948181,2.578040838241577,0.7181939482688904,3.286616325378418,0.48680049180984497,4.342652797698975,0.728949248790741,5.433505535125732,1.030081868171692,3.3049416542053223,0.8968016505241394,2.193382740020752,1.3768868446350098,2.405024766921997,1.087188482284546,6.207691192626953,0.6190850138664246,0.9648706912994385,0.9493296146392822,1.194550633430481,1.216894507408142,6.4308929443359375,0.28610262274742126,1.449477195739746,1.0616856813430786,3.1547441482543945,0.21889202296733856,4.1181721687316895,1.2531036138534546,3.3913328647613525,0.41776081919670105,3.7450151443481445,0.8864778280258179,3.132701873779297,0.1368536800146103,3.203328847885132,0.18606241047382355,3.107465982437134,1.467537760734558,6.506199359893799,0.6636402010917664
UPMC_c001_v001_r001_reg011,3.635684013366699,0.44484707713127136,3.7805089950561523,1.696779727935791,3.788800001144409,0.4773706793785095,3.9279844760894775,0.6131883859634399,5.887700080871582,1.1849199533462524,3.934201717376709,0.6048763394355774,4.7314934730529785,0.5168823003768921,3.759716033935547,0.4053877592086792,3.1252055168151855,0.46548792719841003,3.4023635387420654,0.5454340577125549,4.474429607391357,0.6255778074264526,5.049504280090332,0.8009437322616577,3.3401331901550293,0.7293288111686707,2.1786694526672363,1.3578816652297974,3.1976816654205322,0.8667231798171997,5.3037190437316895,0.4778255820274353,1.9699411392211914,1.2137134075164795,2.2066054344177246,1.3079973459243774,7.249317646026611,0.48863717913627625,2.244173526763916,1.107951045036316,3.144129514694214,0.23275138437747955,3.6983180046081543,0.4957578182220459,3.243781089782715,0.2379806488752365,4.982522964477539,1.0622267723083496,3.1366000175476074,0.1527688205242157,3.1102378368377686,0.16772755980491638,5.475599765777588,1.2616769075393677,5.429107666015625,1.0963612794876099
