task,seed,fold,method,rank,feature
motif_tumor_high,1,1,shap,16,density::tissue_density::Other
motif_tumor_high,1,1,shap,17,point-pattern::APC/Dendritic cell_L_r200
motif_tumor_high,1,1,shap,18,point-pattern::Tumor (Proliferating)_L_r10
motif_tumor_high,1,1,shap,19,density::tumor_density::B cell
motif_tumor_high,1,1,shap,20,density::tissue_density::Granulocyte
motif_tumor_high,1,2,lasso,1,composition::Tumor
motif_tumor_high,1,2,lasso,2,composition::Tumor (Proliferating)
motif_tumor_high,1,2,lasso,3,point-pattern::Tumor_L_r20
motif_tumor_high,1,2,lasso,4,point-pattern::Vessel_L_r50
motif_tumor_high,1,2,lasso,5,density::tissue_density::Tumor
motif_tumor_high,1,2,lasso,6,point-pattern::Naive immune cell_L_r200
motif_tumor_high,1,2,lasso,7,point-pattern::Other_L_r200
motif_tumor_high,1,2,lasso,8,composition::CD4 T cell
motif_tumor_high,1,2,lasso,9,point-pattern::CD4 T cell_K_r10
motif_tumor_high,1,2,lasso,10,point-pattern::Naive immune cell_L_r100
motif_tumor_high,1,2,lasso,11,point-pattern::Macrophage_K_r200
motif_tumor_high,1,2,lasso,12,density::tissue_density::APC/Dendritic cell
motif_tumor_high,1,2,lasso,13,density::tissue_density::Other
motif_tumor_high,1,2,lasso,14,composition::Naive immune cell
motif_tumor_high,1,2,lasso,15,composition::Other
motif_tumor_high,1,2,lasso,16,composition::Stroma
motif_tumor_high,1,2,lasso,17,density::tissue_density::CD8 T cell
motif_tumor_high,1,2,lasso,18,density::tissue_density::CD4 T cell
motif_tumor_high,1,2,lasso,19,density::tissue_density::Macrophage
motif_tumor_high,1,2,lasso,20,density::tissue_density::Granulocyte
motif_tumor_high,1,2,shap,1,composition::Tumor
motif_tumor_high,1,2,shap,2,density::tissue_density::Tumor
motif_tumor_high,1,2,shap,3,density::tumor_density::Tumor
motif_tumor_high,1,2,shap,4,point-pattern::Tumor_L_r10
motif_tumor_high,1,2,shap,5,composition::Tumor (Proliferating)
motif_tumor_high,1,2,shap,6,point-pattern::Tumor_L_r20
motif_tumor_high,1,2,shap,7,composition::CD4 T cell
motif_tumor_high,1,2,shap,8,composition::B cell
motif_tumor_high,1,2,shap,9,composition::CD8 T cell
motif_tumor_high,1,2,shap,10,point-pattern::Tumor_K_r10
motif_tumor_high,1,2,shap,11,composition::Macrophage
motif_tumor_high,1,2,shap,12,density::tissue_density::CD4 T cell
motif_tumor_high,1,2,shap,13,composition::Other
motif_tumor_high,1,2,shap,14,point-pattern::Tumor_K_r20
motif_tumor_high,1,2,shap,15,density::tissue_density::Tumor (Proliferating)
motif_tumor_high,1,2,shap,16,density::tumor_density::CD4 T cell
motif_tumor_high,1,2,shap,17,density::tissue_density::Macrophage
motif_tumor_high,1,2,shap,18,density::tumor_density::Tumor (Proliferating)
motif_tumor_high,1,2,shap,19,density::tissue_density::Other
motif_tumor_high,1,2,shap,20,density::tumor_density::Granulocyte
