task,mean,std,count
motif_cd8_clustering,0.6129998796743289,0.10480602244536531,15
motif_cd8_high,0.7529176355960404,0.04232535416263775,15
motif_immune_exclusion,0.7063500584194474,0.07153731442149229,15
motif_interface_immune,0.7848239237715353,0.05559120456751246,15
motif_tumor_high,0.8099482206682047,0.07423134018124554,15
motif_tumor_stroma_mixing,0.6900429059936781,0.07428296980369081,15
