n_cells,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__apc,frac__immune,frac__stroma,region_id
4360.0,0.4951834862385321,0.06307339449541284,0.029587155963302754,0.033486238532110094,0.005733944954128441,0.13371559633027522,0.2756880733944954,0.17660550458715596,UPMC_c001_v001_r001_reg001
6960.0,0.6214080459770115,0.06479885057471264,0.019827586206896553,0.044971264367816094,0.004022988505747126,0.07183908045977011,0.1728448275862069,0.14152298850574713,UPMC_c001_v001_r001_reg002
7061.0,0.6045885851862343,0.14105650757683047,0.08879762073360714,0.05225888684322334,0.014303922957088232,0.11414813765755559,0.3112873530661379,0.0320067979039796,UPMC_c001_v001_r001_reg004
3830.0,0.597911227154047,0.04073107049608355,0.02402088772845953,0.01671018276762402,0.00835509138381201,0.11096605744125326,0.2744125326370757,0.07911227154046997,UPMC_c001_v001_r001_reg019
5880.0,0.6362244897959184,0.05170068027210884,0.013605442176870748,0.0380952380952381,0.003401360544217687,0.10935374149659864,0.2651360544217687,0.05935374149659864,UPMC_c001_v001_r001_reg018
5155.0,0.6032977691561591,0.028903976721629487,0.011057225994180407,0.017846750727449078,0.03200775945683802,0.11774975751697381,0.1947623666343356,0.03957322987390883,UPMC_c001_v001_r001_reg031
3147.0,0.328884652049571,0.09882427708929138,0.038449316809659996,0.06037496027963139,0.00031776294884016526,0.12074992055926279,0.3060057197330791,0.11916110581506197,UPMC_c001_v001_r001_reg038
5231.0,0.33186771171860063,0.04683616899254445,0.01949913974383483,0.027337029248709614,0.008029057541579048,0.1754922576945135,0.2519594723762187,0.2596061938443892,UPMC_c002_v001_r001_reg003
5382.0,0.6179858788554441,0.04552211073950204,0.033444816053511704,0.012077294685990338,0.004087699739873653,0.10460795243403939,0.19825343738387216,0.09420289855072464,UPMC_c002_v001_r001_reg011
1993.0,0.49523331660812847,0.08479678876066232,0.043652784746613146,0.04114400401404917,0.004014049172102358,0.09031610637230306,0.19769192172604114,0.07275464124435524,UPMC_c002_v001_r001_reg034
3282.0,0.23796465569774528,0.1182205971968312,0.06733698964046313,0.05088360755636807,0.009445460085313833,0.17641681901279707,0.32693479585618523,0.1550883607556368,UPMC_c003_v001_r001_reg013
5508.0,0.30718954248366015,0.24618736383442266,0.09422657952069717,0.15196078431372548,0.02559912854030501,0.19571532316630355,0.49310094408133626,0.08405954974582426,UPMC_c003_v001_r001_reg020
9019.0,0.17862290719591972,0.21842776361015634,0.06730236168089589,0.15112540192926044,0.20135269985585985,0.12894999445614813,0.6389843663377315,0.11486861071072181,UPMC_c003_v001_r001_reg029
3780.0,0.3515873015873016,0.09285714285714286,0.05185185185185185,0.041005291005291,0.038624338624338624,0.15661375661375662,0.36587301587301585,0.11587301587301588,UPMC_c003_v001_r001_reg034
12960.0,0.4574845679012346,0.1962962962962963,0.10354938271604938,0.09274691358024692,0.1638888888888889,0.12183641975308641,0.5067901234567901,0.013194444444444444,UPMC_c004_v001_r001_reg009
6326.0,0.1417957635156497,0.2546632943408157,0.13136263041416377,0.12330066392665191,0.051375276636104965,0.22431236168194751,0.6838444514701233,0.1261460638634208,UPMC_c004_v001_r001_reg015
6219.0,0.39186364367261617,0.18330921369995176,0.07653963659752372,0.10676957710242804,0.016079755587715065,0.14680816851583856,0.4595594146968966,0.07557485126226081,UPMC_c004_v001_r001_reg046
6652.0,0.23662056524353578,0.25992182802164765,0.11440168370414913,0.1455201443174985,0.16611545399879735,0.14311485267588694,0.6271797955502104,0.04164161154539988,UPMC_c004_v001_r001_reg057
4067.0,0.5984755347922301,0.12220309810671257,0.09245143840668797,0.029751659700024587,0.01868699286943693,0.07696090484386525,0.23358741086796164,0.07892795672485863,UPMC_c005_v001_r001_reg015
4733.0,0.3712233255863089,0.1159940840904289,0.051764208747094864,0.06422987534333403,0.001690259877456159,0.20811324741178958,0.3517853369955631,0.1455736319459117,UPMC_c005_v001_r001_reg038
7392.0,0.33617424242424243,0.20752164502164502,0.051271645021645024,0.15625,0.1966991341991342,0.10335497835497835,0.5493777056277056,0.045725108225108224,UPMC_c005_v001_r001_reg053
15317.0,0.4483253900894431,0.21688320167134556,0.06607037931709865,0.15081282235424692,0.01991251550564732,0.18306456877978716,0.46543056734347454,0.04889991512698309,UPMC_c006_v001_r001_reg060
5231.0,0.2913400879372969,0.21410820110877463,0.09176065761804626,0.12234754349072835,0.026381189065188302,0.18638883578665646,0.5299177977442172,0.11546549416937488,UPMC_c001_v001_r001_reg005
4261.0,0.695611358835954,0.025111476179300634,0.016193381835249942,0.008918094344050692,0.01478526167566299,0.09410936399906125,0.22130955174841588,0.04153954470781507,UPMC_c001_v001_r001_reg006
5229.0,0.3864983744501817,0.0757314974182444,0.04475043029259897,0.03098106712564544,0.017020462803595333,0.10805125262956589,0.31019315356664756,0.18091413272136164,UPMC_c001_v001_r001_reg007
5024.0,0.4510350318471338,0.07623407643312102,0.022292993630573247,0.05394108280254777,0.01930732484076433,0.10210987261146497,0.26970541401273884,0.18710191082802546,UPMC_c001_v001_r001_reg008
6211.0,0.3018837546288842,0.16889389792303977,0.07712123651585896,0.09177266140718081,0.012880373530832394,0.1764611173724038,0.5153759459024312,0.1048140396071486,UPMC_c001_v001_r001_reg009
8917.0,0.2214870472131883,0.21128182124032746,0.10070651564427498,0.11057530559605248,0.152629808231468,0.12941572277671862,0.6505551194347875,0.06224066390041494,UPMC_c001_v001_r001_reg017
4704.0,0.25255102040816324,0.2066326530612245,0.0703656462585034,0.13626700680272108,0.01445578231292517,0.18877551020408162,0.5125425170068028,0.12159863945578231,UPMC_c001_v001_r001_reg016
4953.0,0.37452049263072884,0.11366848374722391,0.03775489602261256,0.07591358772461135,0.010902483343428226,0.14031899858671512,0.3486775691500101,0.11407227942661013,UPMC_c001_v001_r001_reg015
6538.0,0.3271642704190884,0.16901193025390027,0.0646986846130315,0.10431324564086877,0.009788926277148976,0.19088406240440503,0.5087182624655858,0.08779443254817987,UPMC_c001_v001_r001_reg014
1491.0,0.5345405767940979,0.06572769953051644,0.042924211938296444,0.022803487592219986,0.028839704896042925,0.1602951039570758,0.30985915492957744,0.1374916163648558,UPMC_c001_v001_r001_reg013
6985.0,0.3660701503221188,0.16692913385826771,0.08962061560486757,0.07730851825340014,0.05941302791696493,0.14860415175375805,0.5168217609162491,0.05654974946313529,UPMC_c001_v001_r001_reg012
3553.0,0.5555868280326485,0.09400506614128905,0.03518153672952434,0.058823529411764705,0.01238390092879257,0.11905432029271039,0.3126934984520124,0.03518153672952434,UPMC_c001_v001_r001_reg011
6073.0,0.2748229869916022,0.11032438662934299,0.02996871397991108,0.08035567264943191,0.011691091717437839,0.19265601844228553,0.4771941379878149,0.08661287666721554,UPMC_c001_v001_r001_reg010
6075.0,0.5596707818930041,0.03176954732510288,0.02271604938271605,0.00905349794238683,0.0036213991769547325,0.06222222222222222,0.34699588477366256,0.04098765432098765,UPMC_c001_v001_r001_reg020
6200.0,0.2854838709677419,0.27838709677419354,0.10306451612903225,0.1753225806451613,0.10225806451612904,0.16048387096774194,0.5762903225806452,0.08935483870967742,UPMC_c001_v001_r001_reg021
5036.0,0.48610007942811756,0.04745830023828435,0.013105639396346307,0.03435266084193805,0.028594122319301033,0.09789515488482924,0.25833995234312945,0.18943606036536934,UPMC_c001_v001_r001_reg022
3580.0,0.45139664804469276,0.05502793296089385,0.020391061452513966,0.034636871508379886,0.003910614525139665,0.11312849162011174,0.2360335195530726,0.17849162011173184,UPMC_c001_v001_r001_reg023
4744.0,0.49620573355817876,0.05227655986509275,0.026559865092748734,0.025716694772344013,0.013069139966273187,0.09127318718381112,0.2670741989881956,0.09865092748735245,UPMC_c001_v001_r001_reg024
3791.0,0.4740174096544447,0.18201002374043787,0.08572935900817726,0.09628066473226062,0.00949617515167502,0.1210762331838565,0.35294117647058826,0.0902136639409127,UPMC_c001_v001_r001_reg026
4571.0,0.3113104353533144,0.10347845110479108,0.05578647998249836,0.04769197112229272,0.06497484139138045,0.10019689345876176,0.3377816670312842,0.17370378472981843,UPMC_c001_v001_r001_reg027
6417.0,0.5731650303880318,0.04269908056724326,0.014492753623188406,0.028206326944054855,0.004363409693002961,0.12872058594358735,0.19386005921770297,0.1510051425899953,UPMC_c001_v001_r001_reg034
5357.0,0.5932424864663057,0.09240246406570841,0.03192085122269927,0.060481612843009146,0.061041627776740714,0.0927758073548628,0.27683404890797086,0.07728206085495613,UPMC_c001_v001_r001_reg033
7445.0,0.6185359301544661,0.1104096709200806,0.057219610476830086,0.0531900604432505,0.02928139691067831,0.0796507723304231,0.26957689724647416,0.06608462055070517,UPMC_c001_v001_r001_reg032
5189.0,0.7298130661013683,0.04336095586818269,0.021584120254384276,0.02177683561379842,0.007901329735979958,0.06841395259202158,0.12950472152630566,0.03796492580458662,UPMC_c001_v001_r001_reg030
3786.0,0.3365029054410988,0.12572636027469625,0.04067617538298996,0.08505018489170629,0.021394611727416798,0.1468568409931326,0.4144215530903328,0.08689910195456947,UPMC_c001_v001_r001_reg029
1395.0,0.5541218637992832,0.05161290322580645,0.03512544802867384,0.016487455197132617,0.005017921146953405,0.1039426523297491,0.196415770609319,0.024372759856630826,UPMC_c001_v001_r001_reg028
4967.0,0.4761425407690759,0.0841554258103483,0.05576806925709684,0.02838735655325146,0.004630561707267968,0.1946849204751359,0.331789812764244,0.12381719347694786,UPMC_c001_v001_r001_reg035
4628.0,0.42912705272255836,0.0862143474503025,0.022904062229904928,0.06331028522039758,0.014693171996542784,0.23292999135695766,0.37445980985306826,0.11970613656006915,UPMC_c001_v001_r001_reg036
4807.0,0.33451216975244435,0.10068649885583524,0.04680674017058457,0.053879758685250675,0.00748907842729353,0.1541501976284585,0.37362180153942165,0.1202413147493239,UPMC_c001_v001_r001_reg037
1670.0,0.4239520958083832,0.02874251497005988,0.016766467065868262,0.011976047904191617,0.006586826347305389,0.12874251497005987,0.30479041916167665,0.07604790419161676,UPMC_c001_v001_r001_reg039
1907.0,0.5007865757734662,0.06869428421604615,0.04195070791819612,0.026743576297850027,0.0015731515469323545,0.10330361824855794,0.2616675406397483,0.058206607236497114,UPMC_c001_v001_r001_reg040
3606.0,0.5044370493621742,0.0632279534109817,0.031336661120354964,0.03189129229062673,0.03549639489739324,0.07848031059345535,0.2041042706600111,0.04936217415418746,UPMC_c001_v001_r001_reg041
6288.0,0.6574427480916031,0.09080788804071246,0.050095419847328244,0.04071246819338423,0.017334605597964375,0.06854325699745548,0.25286259541984735,0.042779898218829514,UPMC_c002_v001_r001_reg001
4171.0,0.19995204986813714,0.26348597458643014,0.16902421481659075,0.09446175976983937,0.030208583073603454,0.1958762886597938,0.5415967393910334,0.17405897866219133,UPMC_c002_v001_r001_reg002
8843.0,0.26077123148252856,0.26167590184326583,0.1216781635191677,0.13999773832409815,0.1330996268234762,0.12427909080628746,0.5993441139884654,0.06389234422707227,UPMC_c002_v001_r001_reg004
8301.0,0.2749066377544874,0.22190097578604986,0.06902782797253343,0.15287314781351644,0.1746777496687146,0.09902421395012649,0.5416214913865799,0.0983014094687387,UPMC_c002_v001_r001_reg005
6652.0,0.4150631389055923,0.06419122068550812,0.028562838244137103,0.035628382441371016,0.00375826819001804,0.13409500901984367,0.2755562236921227,0.0661455201443175,UPMC_c002_v001_r001_reg006
5243.0,0.45775319473583825,0.04501239748235743,0.014304787335494945,0.030707610146862484,0.008773602899103566,0.11253099370589358,0.274651916841503,0.20026702269692923,UPMC_c002_v001_r001_reg007
8146.0,0.28811686717407314,0.20427203535477534,0.059538423766265655,0.1447336115885097,0.21482936410508224,0.07930272526393321,0.5659219248711024,0.0693591946967837,UPMC_c002_v001_r001_reg008
1489.0,0.23237071860308933,0.0819341840161182,0.024848891873740765,0.05708529214237743,0.013431833445265278,0.22431161853593015,0.4244459368703828,0.0745466756212223,UPMC_c002_v001_r001_reg009
4335.0,0.40899653979238754,0.04659746251441753,0.01914648212226067,0.027450980392156862,0.012687427912341407,0.1284890426758939,0.21038062283737025,0.09550173010380623,UPMC_c002_v001_r001_reg015
5109.0,0.4190643961636328,0.02955568604423566,0.006067723624975534,0.023487962419260128,0.03092581718535917,0.1098062243100411,0.17498532002348796,0.17185359170091993,UPMC_c002_v001_r001_reg014
6366.0,0.3726044612001257,0.08765315739868049,0.03565818410304744,0.05199497329563305,0.0054979579013509266,0.19698397737983034,0.3526547282437952,0.15221489161168708,UPMC_c002_v001_r001_reg013
