n_cells,frac__tumor,frac__t_cell,frac__cd8,frac__cd4,frac__b_cell,frac__apc,frac__immune,frac__stroma,region_id,pattern_id,scale_um,spatial_or_composition,positive_example,negative_example,promote
4360.0,0.4951834862385321,0.06307339449541284,0.029587155963302754,0.033486238532110094,0.005733944954128441,0.13371559633027522,0.2756880733944954,0.17660550458715596,UPMC_c001_v001_r001_reg001,,50,,,,
3830.0,0.597911227154047,0.04073107049608355,0.02402088772845953,0.01671018276762402,0.00835509138381201,0.11096605744125326,0.2744125326370757,0.07911227154046997,UPMC_c001_v001_r001_reg019,,50,,,,
9019.0,0.17862290719591972,0.21842776361015634,0.06730236168089589,0.15112540192926044,0.20135269985585985,0.12894999445614813,0.6389843663377315,0.11486861071072181,UPMC_c003_v001_r001_reg029,,50,,,,
5109.0,0.4190643961636328,0.02955568604423566,0.006067723624975534,0.023487962419260128,0.03092581718535917,0.1098062243100411,0.17498532002348796,0.17185359170091993,UPMC_c002_v001_r001_reg014,,50,,,,
4655.0,0.29108485499462944,0.14328678839957035,0.03050483351235231,0.11278195488721804,0.007518796992481203,0.21933404940923737,0.5535982814178303,0.08743286788399571,UPMC_c003_v001_r001_reg023,,50,,,,
10781.0,0.7133846581949727,0.14404971709488915,0.1048140246730359,0.03923569242185326,0.014562656525368704,0.08143956961320842,0.2504405899267229,0.015582970039884982,UPMC_c004_v001_r001_reg005,,50,,,,
16743.0,0.1468673475482291,0.368452487606761,0.0939497103267037,0.27450277728005734,0.1899301200501702,0.11969181150331482,0.7171355193215075,0.10702980349997014,UPMC_c004_v001_r001_reg016,,50,,,,
5157.0,0.3744425053325577,0.09637386077176653,0.024626720961799495,0.07174713980996704,0.016676362226100448,0.15125072716695753,0.30444056622067095,0.225130890052356,UPMC_c004_v001_r001_reg048,,50,,,,
6335.0,0.2602999210734017,0.19273875295974743,0.07056037884767166,0.12217837411207577,0.05430149960536701,0.16842936069455405,0.5368587213891082,0.1063930544593528,UPMC_c005_v001_r001_reg012,,50,,,,
4208.0,0.4458174904942966,0.07770912547528518,0.036596958174904944,0.041112167300380226,0.0817490494296578,0.08602661596958175,0.436074144486692,0.042538022813688216,UPMC_c005_v001_r001_reg019,,50,,,,
7609.0,0.703114732553555,0.045735313444605075,0.029438822447102116,0.016296490997502956,0.013536601393087133,0.10264160862136944,0.18701537652779604,0.056512025233276385,UPMC_c005_v001_r001_reg037,,50,,,,
15846.0,0.41884387227060454,0.23911397198031048,0.14009844755774328,0.09901552442256721,0.13807901047582985,0.10223400227186671,0.5280196895115487,0.019752618957465606,UPMC_c005_v001_r001_reg046,,50,,,,
16079.0,0.16437589402326017,0.3722868337583183,0.10554138938988743,0.2667454443684309,0.1780583369612538,0.11219603209154798,0.7134772062939237,0.09695876609241869,UPMC_c005_v001_r001_reg050,,50,,,,
2937.0,0.5117466802860061,0.08852570650323459,0.05209397344228805,0.03643173306094655,0.009533537623425264,0.12393598910452842,0.23118828736806266,0.10248552945182159,UPMC_c005_v001_r001_reg061,,50,,,,
6953.0,0.3805551560477492,0.17647058823529413,0.06141233999712355,0.11505824823817057,0.00891701423845822,0.16295124406730907,0.36789874874155043,0.18840788149000431,UPMC_c006_v001_r001_reg040,,50,,,,
5905.0,0.5920406435224386,0.06790855207451313,0.021845893310753598,0.04606265876375953,0.01100762066045724,0.08044030482641829,0.1896697713801863,0.12023708721422523,UPMC_c006_v001_r001_reg061,,50,,,,
11128.0,0.308411214953271,0.21693026599568654,0.0656901509705248,0.15124011502516174,0.017882818116462976,0.14270309130122213,0.49065420560747663,0.1387491013659238,UPMC_c006_v001_r001_reg056,,50,,,,
13174.0,0.44124791255503265,0.2648398360406862,0.1827083649612874,0.08213147107939882,0.05814483072718992,0.11932594504326705,0.49073933505389405,0.03028692879914984,UPMC_c007_v001_r001_reg001,,50,,,,
6816.0,0.4080105633802817,0.12470657276995305,0.05545774647887324,0.06924882629107981,0.0636737089201878,0.13732394366197184,0.3683978873239437,0.10401995305164319,UPMC_c007_v001_r001_reg026,,50,,,,
7538.0,0.47811090474927037,0.18174582117272486,0.13902892013796764,0.04271690103475723,0.059564871318652166,0.11780313080392676,0.3946670204298222,0.018705226850623508,UPMC_c007_v001_r001_reg052,,50,,,,
