region_id,domain_00,domain_01,domain_02,domain_03,domain_04,domain_05,domain_06,domain_07,domain_08,domain_09
UPMC_c001_v001_r001_reg001,0.0,0.06995412844036697,0.03188073394495413,0.2853211009174312,0.0,0.0038990825688073397,0.001834862385321101,0.21192660550458717,0.008944954128440367,0.38623853211009174
UPMC_c001_v001_r001_reg002,0.0,0.028448275862068967,0.006896551724137931,0.3461206896551724,0.0,0.00603448275862069,0.0346264367816092,0.2650862068965517,0.054741379310344826,0.25804597701149423
UPMC_c001_v001_r001_reg004,0.0,0.0042486899872539305,0.030590567908228297,0.6829061039512817,0.0,0.000991360997025917,0.01713638294859085,0.05325024784024926,0.0968701317093896,0.11400651465798045
UPMC_c001_v001_r001_reg005,0.0,0.011087746128847257,0.11948002294016441,0.19938826228254636,0.0,0.019116803670426306,0.14299369145478877,0.022175492257694513,0.012425922385777098,0.4733320588797553
UPMC_c001_v001_r001_reg006,0.0,0.0,0.0004693733865289838,0.48650551513729173,0.0,0.006805914104670265,0.0070406007979347575,0.004224360478760855,0.4348744426191035,0.06007979347570993
UPMC_c001_v001_r001_reg007,0.0,0.021610250525913175,0.02620003824823102,0.26907630522088355,0.0,0.05393000573723465,0.12201185695161598,0.005545993497800727,0.10288774144195831,0.3987378083763626
UPMC_c001_v001_r001_reg008,0.0,0.10310509554140128,0.044585987261146494,0.2975716560509554,0.0,0.04259554140127388,0.03662420382165605,0.0021894904458598726,0.11624203821656051,0.3570859872611465
UPMC_c001_v001_r001_reg009,0.00016100466913540493,0.0011270326839478344,0.08436644662695218,0.27998711962646916,0.0,0.012880373530832394,0.17871518274029946,0.012236354854290775,0.1075511189824505,0.3229753662856223
UPMC_c001_v001_r001_reg010,0.007574510126790713,0.00016466326362588507,0.00032932652725177014,0.014819693726329656,0.0,0.09632800922114276,0.661781656512432,0.0016466326362588506,0.043471101597233656,0.17388440638893463
UPMC_c001_v001_r001_reg011,0.012665353222628765,0.007036307345904869,0.009287925696594427,0.461018857303687,0.0,0.05600900647340276,0.17056009006473402,0.009850830284266816,0.18716577540106952,0.0864058542077118
UPMC_c001_v001_r001_reg012,0.0,0.001145311381531854,0.21775232641374373,0.14717251252684324,0.0,0.00486757337151038,0.10064423765211167,0.005583392984967788,0.1802433786685755,0.3425912670007158
UPMC_c001_v001_r001_reg013,0.0,0.014755197853789403,0.0006706908115358819,0.7297116029510395,0.0,0.02481556002682763,0.002012072434607646,0.0053655264922870555,0.17370892018779344,0.04896042924211938
UPMC_c001_v001_r001_reg014,0.0,0.017589476904252065,0.03517895380850413,0.21566228204343835,0.0,0.019424900581217496,0.1281737534414194,0.005812174977057204,0.04099112878556133,0.5371673294585501
UPMC_c001_v001_r001_reg015,0.0,0.33696749444780943,0.02018978396931153,0.03472642842721583,0.0,0.04603270745003028,0.1322430849989905,0.01150817686250757,0.1282051282051282,0.2901271956390067
UPMC_c001_v001_r001_reg016,0.0,0.08014455782312925,0.07249149659863946,0.116921768707483,0.0,0.00744047619047619,0.029336734693877552,0.05038265306122449,0.0027636054421768708,0.6405187074829932
UPMC_c001_v001_r001_reg017,0.0,0.000336436021083324,0.42054502635415497,0.06515644274980374,0.0,0.0028036335090277,0.17651676572838398,0.004149377593360996,0.00056072670180554,0.3299315913423797
UPMC_c001_v001_r001_reg018,0.0,0.003401360544217687,0.016666666666666666,0.08639455782312926,0.0,0.0013605442176870747,0.01479591836734694,0.6534013605442177,0.0018707482993197278,0.22210884353741497
UPMC_c001_v001_r001_reg019,0.0,0.03838120104438642,0.0026109660574412533,0.6563968668407311,0.0,0.04046997389033943,0.028720626631853787,0.07545691906005222,0.02610966057441253,0.13185378590078328
UPMC_c001_v001_r001_reg020,0.0,0.030781893004115227,0.0019753086419753087,0.3236213991769547,0.0,0.011193415637860082,0.0205761316872428,0.3022222222222222,0.12444444444444444,0.18518518518518517
UPMC_c001_v001_r001_reg021,0.0,0.013064516129032259,0.5698387096774193,0.00016129032258064516,0.0,0.0003225806451612903,0.0,0.18661290322580645,0.0,0.23
UPMC_c001_v001_r001_reg022,0.0,0.16123907863383638,0.04428117553613979,0.3810563939634631,0.0,0.014297061159650517,0.010524225575853852,0.12410643367752185,0.047061159650516285,0.21743447180301828
UPMC_c001_v001_r001_reg023,0.0,0.05698324022346369,0.004469273743016759,0.211731843575419,0.0,0.09273743016759776,0.10977653631284916,0.05921787709497207,0.24078212290502793,0.22430167597765363
UPMC_c001_v001_r001_reg024,0.0,0.0581787521079258,0.016652613827993254,0.38975548060708265,0.0,0.0581787521079258,0.12731871838111297,0.002529510961214165,0.19392917369308602,0.15345699831365936
UPMC_c001_v001_r001_reg026,0.0,0.025586916380902137,0.06805592192033764,0.4373516222632551,0.0,0.018464785017145872,0.13004484304932734,0.013716697441308361,0.07860722764442099,0.22817198628330257
UPMC_c001_v001_r001_reg027,0.0,0.013563771603587836,0.03828483920367534,0.07853861299496828,0.0,0.15313935681470137,0.20761321373878802,0.004812951214176329,0.27586961277619776,0.22817764165390506
UPMC_c001_v001_r001_reg028,0.0,0.005017921146953405,0.0007168458781362007,0.14193548387096774,0.0,0.015770609318996417,0.023655913978494623,0.021505376344086023,0.7727598566308244,0.01863799283154122
UPMC_c001_v001_r001_reg029,0.0,0.025092445853143158,0.03222398309561542,0.1930797675647121,0.0,0.04727945060750132,0.13576333861595352,0.04965662968832541,0.10327522451135764,0.41362916006339145
UPMC_c001_v001_r001_reg030,0.0,0.012911929080747736,0.0011562921564848719,0.06802852187319329,0.0,0.025245712083253036,0.04451724802466757,0.0032761611100404703,0.7874349585661977,0.0574291771054153
UPMC_c001_v001_r001_reg031,0.0,0.6013579049466538,0.00019398642095053346,0.007759456838021339,0.0,0.018816682832201746,0.0017458777885548012,0.00019398642095053346,0.36644034917555773,0.0034917555771096023
UPMC_c001_v001_r001_reg032,0.0,0.04674278038952317,0.1038280725319006,0.3456010745466756,0.0,0.0010745466756212224,0.007118871725990598,0.31054398925453325,0.01773002014775017,0.16736064472800538
