dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_density,gate2_density,decision,in_formal_set
bc_metabric_ali2020,cd8_high,control,False,,548,274,274,0.9845947256046949,pass_control,composition_then_density,0.9684395721683068,pass_control,keep_control,True
bc_metabric_ali2020,immune_exclusion,spatial,True,tumor;cd8,210,105,105,0.7021398247485204,fail,composition_then_density,0.9545270062350808,pass,drop_composition_leak,False
bc_metabric_ali2020,t_tumor_mixing,spatial,True,tumor;t_cell,211,105,106,0.5233169315156893,pass,composition_then_density,0.6938426411407778,fail,hold,False
bc_metabric_ali2020,cd8_tumor_contact,spatial,True,tumor;cd8,211,105,106,0.5233169315156893,pass,composition_then_density,0.6938426411407778,fail,hold,False
bc_metabric_ali2020,macrophage_tumor_niche,spatial,True,tumor;macrophage,206,103,103,0.6915098627112357,fail,composition_then_density,0.7705583101835144,fail,drop_composition_leak,False
bc_metabric_ali2020,apc_t_contact,spatial,True,apc;t_cell,206,103,103,0.5867521102146799,pass,composition_then_density,0.5507553735175507,fail,hold,False
bc_metabric_ali2020,tls_like,spatial,True,b_cell;t_cell,338,169,169,0.8154157862107941,fail,composition_then_density,0.7841414432804096,fail,drop_composition_leak,False
bc_metabric_ali2020,interface_immune,spatial,True,immune;tumor,276,138,138,0.5807521760091242,pass,composition_then_density,0.6340250674429354,fail,hold,False
bc_metabric_ali2020,vessel_immune,spatial,True,immune;vessel,277,139,138,0.8233826775844655,fail,composition_then_density,0.830975964104955,pass,drop_composition_leak,False
bc_metabric_ali2020,tumor_stroma_mixing,spatial,True,tumor;stroma,327,164,163,0.592093234779858,pass,composition_then_density,0.842456872424071,pass,keep_spatial,True
bc_metabric_ali2020,cd8_clustering,spatial,True,cd8,211,106,105,0.4800411389852384,pass,composition_then_density,0.4496823454897989,fail,hold,False
crc_schurch2020,tumor_high,control,False,,140,70,70,0.9185942889199192,pass_control,composition_then_density,0.8665801106767493,fail_control,fail_control,False
crc_schurch2020,cd8_high,control,False,,140,70,70,0.936171038928392,pass_control,composition_then_density,0.8596183759051405,fail_control,fail_control,False
crc_schurch2020,immune_exclusion,spatial,True,tumor;cd8,76,39,37,0.5813545603426555,pass,composition_then_density,0.6668639245821787,fail,hold,False
