dataset,motif_id,role,spatial,residual_on,n_labeled_v2,n_0,n_1,auc_composition,gate1_composition,panel,auc_expression,gate2_expression,decision,in_formal_set
crc_schurch2020,tumor_stroma_mixing,spatial,True,tumor;stroma,78,40,38,0.4912110523221635,pass,composition_then_expression,0.6200999412110523,pass,keep_spatial,True
crc_schurch2020,cd8_clustering,spatial,True,cd8,77,38,39,0.3696753246753247,pass,composition_then_expression,0.5873499736594975,pass,keep_spatial,True
crc_wu2022,tumor_high,control,False,,292,146,146,0.9965138445783608,pass_control,composition_then_expression,0.8873656955358332,fail_control,fail_control,False
crc_wu2022,cd8_high,control,False,,292,146,146,0.9890198942383264,pass_control,composition_then_expression,0.9017176546050892,pass_control,keep_control,True
crc_wu2022,immune_exclusion,spatial,True,tumor;cd8,172,86,86,0.6453570400919902,fail,composition_then_expression,0.6044105194134434,pass,drop_composition_leak,False
crc_wu2022,t_tumor_mixing,spatial,True,tumor;t_cell,173,87,86,0.8891144884948382,fail,composition_then_expression,0.8504060363239021,fail,drop_composition_leak,False
crc_wu2022,cd8_tumor_contact,spatial,True,tumor;cd8,171,86,85,0.743058488790128,fail,composition_then_expression,0.6914657968100519,hold,drop_composition_leak,False
crc_wu2022,macrophage_tumor_niche,spatial,True,tumor;macrophage,173,87,86,0.8172213634025065,fail,composition_then_expression,0.707091658879085,hold,drop_composition_leak,False
crc_wu2022,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,174,86,88,0.6371992091772218,borderline,composition_then_expression,0.6140126958786837,pass,hold,False
crc_wu2022,apc_t_contact,spatial,True,apc;t_cell,175,87,88,0.8102037401882604,fail,composition_then_expression,0.7591557559355117,fail,drop_composition_leak,False
crc_wu2022,tls_like,spatial,True,b_cell;t_cell,174,87,87,0.7387726236846305,fail,composition_then_expression,0.7134611582832344,hold,drop_composition_leak,False
crc_wu2022,interface_immune,spatial,True,immune;tumor,176,88,88,0.7054827204672407,fail,composition_then_expression,0.6823233589023061,hold,drop_composition_leak,False
crc_wu2022,vessel_immune,spatial,True,immune;vessel,174,87,87,0.7710857811285656,fail,composition_then_expression,0.684091177244127,hold,drop_composition_leak,False
crc_wu2022,tumor_stroma_mixing,spatial,True,tumor;stroma,174,86,88,0.774189679612919,fail,composition_then_expression,0.707708048714547,hold,drop_composition_leak,False
crc_wu2022,cd8_clustering,spatial,True,cd8,173,86,87,0.6411433558239136,fail,composition_then_expression,0.5408845444747442,pass,drop_composition_leak,False
luad_sorin2023,tumor_high,control,False,,536,276,260,0.9958713566727504,pass_control,composition_then_expression,0.9832835573253692,pass_control,keep_control,True
luad_sorin2023,cd8_high,control,False,,536,262,274,0.9911168261342478,pass_control,composition_then_expression,0.9641870840477113,pass_control,keep_control,True
luad_sorin2023,immune_exclusion,spatial,True,tumor;cd8,330,152,178,0.624,borderline,composition_then_expression,0.8004266666666666,fail,drop_expression_leak,False
luad_sorin2023,t_tumor_mixing,spatial,True,tumor;t_cell,323,168,155,0.6425476923076923,fail,composition_then_expression,0.6680492307692307,hold,drop_composition_leak,False
luad_sorin2023,cd8_tumor_contact,spatial,True,tumor;cd8,316,164,152,0.6741128205128206,fail,composition_then_expression,0.7171076923076923,hold,drop_composition_leak,False
luad_sorin2023,macrophage_tumor_niche,spatial,True,tumor;macrophage,318,156,162,0.5840205128205128,pass,composition_then_expression,0.6563035897435897,hold,hold,False
luad_sorin2023,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,321,168,153,0.6652,fail,composition_then_expression,0.6775822222222222,hold,drop_composition_leak,False
luad_sorin2023,apc_t_contact,spatial,True,apc;t_cell,324,174,150,0.6832451282051281,fail,composition_then_expression,0.7601600000000001,fail,drop_composition_leak,False
luad_sorin2023,tls_like,spatial,True,b_cell;t_cell,329,167,162,0.7009107692307691,fail,composition_then_expression,0.7552205128205128,fail,drop_composition_leak,False
luad_sorin2023,interface_immune,spatial,True,immune;tumor,326,167,159,0.5545189743589743,pass,composition_then_expression,0.6717538461538463,hold,hold,False
luad_sorin2023,vessel_immune,spatial,True,immune;vessel,326,164,162,0.6498748717948718,fail,composition_then_expression,0.74224,hold,drop_composition_leak,False
luad_sorin2023,cd8_clustering,spatial,True,cd8,314,147,167,0.5922215384615385,pass,composition_then_expression,0.6107815384615384,pass,keep_spatial,True
nsclc_aung2025,tumor_high,control,False,,95,42,53,0.9925925925925926,pass_control,composition_then_expression,1.0,pass_control,keep_control,True
nsclc_aung2025,cd8_high,control,False,,95,46,49,0.8685185185185186,fail_control,composition_then_expression,0.7185185185185186,fail_control,fail_control,False
nsclc_aung2025,immune_exclusion,spatial,True,tumor;cd8,46,25,21,0.3666666666666666,pass,composition_then_expression,0.7333333333333333,hold,hold,False
nsclc_aung2025,t_tumor_mixing,spatial,True,tumor;t_cell,48,33,15,0.7,fail,composition_then_expression,0.7333333333333333,hold,drop_composition_leak,False
nsclc_aung2025,cd8_tumor_contact,spatial,True,tumor;cd8,41,25,16,0.5,pass,composition_then_expression,0.6666666666666666,hold,hold,False
nsclc_aung2025,macrophage_tumor_niche,spatial,True,tumor;macrophage,60,38,22,0.4833333333333333,pass,composition_then_expression,0.7666666666666667,fail,drop_expression_leak,False
nsclc_aung2025,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,40,26,14,0.4,pass,composition_then_expression,0.6666666666666666,hold,hold,False
nsclc_aung2025,apc_t_contact,spatial,True,apc;t_cell,55,22,33,0.7666666666666667,fail,composition_then_expression,0.4833333333333333,pass,drop_composition_leak,False
nsclc_aung2025,tls_like,spatial,True,b_cell;t_cell,47,16,31,0.4833333333333333,pass,composition_then_expression,0.3833333333333333,pass,keep_spatial,True
nsclc_aung2025,interface_immune,spatial,True,immune;tumor,49,27,22,0.55,pass,composition_then_expression,0.2833333333333333,pass,keep_spatial,True
nsclc_aung2025,vessel_immune,spatial,True,immune;vessel,53,20,33,0.6333333333333333,borderline,composition_then_expression,0.4166666666666667,pass,hold,False
nsclc_aung2025,tumor_stroma_mixing,spatial,True,tumor;stroma,40,23,17,0.2666666666666666,pass,composition_then_expression,0.4,pass,keep_spatial,True
nsclc_aung2025,cd8_clustering,spatial,True,cd8,35,14,21,0.5666666666666667,pass,composition_then_expression,0.2666666666666666,pass,keep_spatial,True
nsclc_ici_monkman2024,tumor_high,control,False,,36,18,18,0.9666666666666668,pass_control,composition_then_expression,0.9458333333333332,pass_control,keep_control,True
nsclc_ici_monkman2024,cd8_high,control,False,,36,18,18,0.8625,fail_control,composition_then_expression,0.851388888888889,fail_control,fail_control,False
nsclc_ici_monkman2024,immune_exclusion,spatial,True,tumor;cd8,18,9,9,0.9333333333333332,fail,composition_then_expression,0.8166666666666667,fail,drop_composition_leak,False
nsclc_ici_monkman2024,t_tumor_mixing,spatial,True,tumor;t_cell,18,9,9,0.6666666666666666,fail,composition_then_expression,0.8166666666666667,fail,drop_composition_leak,False
nsclc_ici_monkman2024,cd8_tumor_contact,spatial,True,tumor;cd8,18,9,9,0.4333333333333333,pass,composition_then_expression,0.7166666666666667,hold,hold,False
nsclc_ici_monkman2024,macrophage_tumor_niche,spatial,True,tumor;macrophage,18,9,9,0.55,pass,composition_then_expression,0.85,fail,drop_expression_leak,False
nsclc_ici_monkman2024,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,16,8,8,0.7833333333333333,fail,composition_then_expression,0.65,hold,drop_composition_leak,False
nsclc_ici_monkman2024,apc_t_contact,spatial,True,apc;t_cell,18,9,9,0.8,fail,composition_then_expression,0.8166666666666667,fail,drop_composition_leak,False
nsclc_ici_monkman2024,tls_like,spatial,True,b_cell;t_cell,18,9,9,0.3166666666666666,pass,composition_then_expression,0.7,hold,hold,False
nsclc_ici_monkman2024,interface_immune,spatial,True,immune;tumor,18,9,9,0.6333333333333333,borderline,composition_then_expression,0.5333333333333333,pass,hold,False
nsclc_ici_monkman2024,vessel_immune,spatial,True,immune;vessel,18,9,9,0.75,fail,composition_then_expression,0.8,fail,drop_composition_leak,False
nsclc_ici_monkman2024,tumor_stroma_mixing,spatial,True,tumor;stroma,17,9,8,0.5,pass,composition_then_expression,0.2666666666666666,pass,keep_spatial,True
nsclc_ici_monkman2024,cd8_clustering,spatial,True,cd8,18,9,9,0.3666666666666666,pass,composition_then_expression,0.6666666666666666,hold,hold,False
tnbc_wang2023,tumor_high,control,False,,766,383,383,0.9966155414158188,pass_control,composition_then_expression,0.918460196230686,pass_control,keep_control,True
tnbc_wang2023,cd8_high,control,False,,766,383,383,0.9957069032351534,pass_control,composition_then_expression,0.9531851008925014,pass_control,keep_control,True
tnbc_wang2023,immune_exclusion,spatial,True,tumor;cd8,405,202,203,0.682695074244612,fail,composition_then_expression,0.7323028792539552,hold,drop_composition_leak,False
tnbc_wang2023,t_tumor_mixing,spatial,True,tumor;t_cell,440,220,220,0.6615594931436102,fail,composition_then_expression,0.8418550773415461,fail,drop_composition_leak,False
tnbc_wang2023,cd8_tumor_contact,spatial,True,tumor;cd8,406,204,202,0.6904805530908616,fail,composition_then_expression,0.8154604387788016,fail,drop_composition_leak,False
tnbc_wang2023,macrophage_tumor_niche,spatial,True,tumor;macrophage,387,193,194,0.7118398518099962,fail,composition_then_expression,0.7919744241406513,fail,drop_composition_leak,False
tnbc_wang2023,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,285,142,143,0.7499132839618096,fail,composition_then_expression,0.666722794744964,hold,drop_composition_leak,False
tnbc_wang2023,apc_t_contact,spatial,True,apc;t_cell,462,230,232,0.5772453093821586,pass,composition_then_expression,0.7818119849349715,fail,drop_expression_leak,False
tnbc_wang2023,tls_like,spatial,True,b_cell;t_cell,468,235,233,0.8790904777476098,fail,composition_then_expression,0.886683473392775,fail,drop_composition_leak,False
tnbc_wang2023,interface_immune,spatial,True,immune;tumor,474,237,237,0.5948328054632713,pass,composition_then_expression,0.6945361307776985,hold,hold,False
tnbc_wang2023,vessel_immune,spatial,True,immune;vessel,473,236,237,0.688407589389969,fail,composition_then_expression,0.6463675723953085,pass,drop_composition_leak,False
tnbc_wang2023,tumor_stroma_mixing,spatial,True,tumor;stroma,458,229,229,0.7104722512424734,fail,composition_then_expression,0.7269684250963787,hold,drop_composition_leak,False
tnbc_wang2023,cd8_clustering,spatial,True,cd8,407,204,203,0.5697676214618039,pass,composition_then_expression,0.7413597205267107,hold,hold,False
hnc_wu2022,tumor_high,control,False,,366,191,175,0.998,pass_control,composition_then_expression,0.914,pass_control,keep_control,True
hnc_wu2022,cd8_high,control,False,,366,183,183,0.995,pass_control,composition_then_expression,0.903,pass_control,keep_control,True
hnc_wu2022,cd8_clustering,spatial,True,cd8,223,123,100,0.556,pass,composition_then_expression,0.558,pass,keep_spatial,True
hnc_wu2022,tls_like,spatial,True,b_cell;t_cell,231,130,101,0.514,pass,composition_then_expression,0.686,hold,hold,False
hnc_wu2022,tumor_stroma_mixing,spatial,True,tumor;stroma,213,110,103,0.499,pass,composition_then_expression,0.877,fail,drop_expression_leak,False
hnc_wu2022,interface_immune,spatial,True,immune;tumor,220,98,122,0.531,pass,composition_then_expression,0.784,fail,drop_expression_leak,False
hnc_wu2022,immune_exclusion,spatial,True,tumor;cd8,216,107,109,0.62,borderline,composition_then_expression,0.77,fail,drop_expression_leak,False
hnc_wu2022,t_tumor_mixing,spatial,True,tumor;t_cell,238,118,120,0.799,fail,composition_then_expression,0.839,fail,drop_composition_leak,False
hnc_wu2022,cd8_tumor_contact,spatial,True,tumor;cd8,232,111,121,0.702,fail,composition_then_expression,0.67,hold,drop_composition_leak,False
hnc_wu2022,macrophage_tumor_niche,spatial,True,tumor;macrophage,241,109,132,0.711,fail,composition_then_expression,0.817,fail,drop_composition_leak,False
hnc_wu2022,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,236,114,122,0.637,fail,composition_then_expression,0.62,hold,drop_composition_leak,False
hnc_wu2022,apc_t_contact,spatial,True,apc;t_cell,250,135,115,0.733,fail,composition_then_expression,0.656,hold,drop_composition_leak,False
hnc_wu2022,vessel_immune,spatial,True,immune;vessel,244,124,120,0.654,fail,composition_then_expression,0.739,fail,drop_composition_leak,False
