dataset,task,mean,std,count
bc_jackson2020,motif_apc_t_contact,0.7154761146772071,0.052454850876864155,15
bc_jackson2020,motif_cd8_high,0.8422718980869466,0.04546688571621565,15
bc_jackson2020,motif_cd8_tumor_contact,0.8037385046684916,0.035474920000459285,15
bc_jackson2020,motif_macrophage_tumor_niche,0.6662216659183985,0.04677218292988087,15
bc_jackson2020,motif_t_tumor_mixing,0.8117817553523962,0.036004268682860954,15
bc_jackson2020,motif_tumor_high,0.9386329318754952,0.01578240755002383,15
hnc_wu2022,motif_cd8_clustering,0.6156149777357232,0.1163583446917186,15
hnc_wu2022,motif_cd8_high,0.740509865581132,0.049133815330494116,15
hnc_wu2022,motif_immune_exclusion,0.7207567167821954,0.050844383676253435,15
hnc_wu2022,motif_tumor_high,0.7645377955876345,0.05382611777668343,15
tnbc_wang2023,motif_cd8_high,0.8733088695205533,0.02341092044922031,15
tnbc_wang2023,motif_tumor_high,0.8209011990706845,0.02036029558088235,15
bc_metabric_ali2020,motif_cd8_high,0.8188301879983775,0.03811074299433974,15
bc_metabric_ali2020,motif_interface_immune,0.7536664962849053,0.07434119115935378,15
bc_metabric_ali2020,motif_tumor_high,0.9225353155052113,0.032156005235839405,15
bc_metabric_ali2020,motif_tumor_stroma_mixing,0.8879181058046903,0.026610572546779114,15
