task,seed,fold,method,rank,feature,dataset,selected
motif_apc_t_contact,0,1,lasso,16,point-pattern::Tumor (CK+ HR+)_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,17,density::tissue_density::Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,18,density::tissue_density::Tumor (Hypoxic),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,19,composition::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,20,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,2,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,3,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,4,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,5,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,6,point-pattern::Tumor (CK+ HR+)_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,7,point-pattern::Stromal cells_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,8,point-pattern::Tumor (Myoepithelial)_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,9,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,10,point-pattern::Tumor (Myoepithelial)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,11,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,12,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,13,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,14,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,15,point-pattern::T cell_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,16,point-pattern::Tumor (CK+ HR+)_K_r100,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,17,point-pattern::Endothelial_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,18,point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,19,point-pattern::Tumor (CK+ HR+)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,20,composition::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,1,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,2,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,3,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,4,composition::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,5,point-pattern::Tumor (CK+ HR+)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,6,point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,7,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,8,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,9,density::tumor_density::Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,10,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,11,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,12,point-pattern::T cell_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,13,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,14,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,15,point-pattern::T & B cells_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,16,composition::Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,17,density::tumor_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,18,density::tumor_density::Tumor (Apoptotic),bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,19,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,lasso,20,density::tissue_density::Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,2,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,3,composition::T & B cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,4,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,5,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,6,point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,7,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,8,composition::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,2,shap,9,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,10,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,11,point-pattern::Macrophage_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,12,point-pattern::T & B cells_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,13,density::tumor_density::Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,14,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,15,point-pattern::Tumor (CK+ HR+)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,16,point-pattern::T cell_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,17,density::tissue_density::B cell,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,18,point-pattern::Tumor (CK7+)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,19,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,2,shap,20,point-pattern::Tumor (Hypoxic)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,2,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,3,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,4,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,3,lasso,5,density::tumor_density::Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
