task,kind,seed,fold,n_train,n_val,auc_lasso,auc_ridge,lasso_top1,shap_top1,lasso_hit,shap_hit,lasso_best_hit_rank,shap_best_hit_rank,lasso_passed,shap_passed,shap_miss_as_top1,faithfulness_drop_top,faithfulness_drop_random,faithfulness_passed,fold_passed,top_shap,dataset,selected
motif_apc_t_contact,spatial,2,1,253,62,0.6635318704284222,0.6802507836990594,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;point-pattern::T cell_K_r10;point-pattern::T cell_L_r20;point-pattern::T cell_K_r20,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;point-pattern::T cell_K_r20,1.0,1.0,True,True,False,0.21630094043887133,-0.0052246603970742544,True,True,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;density::tumor_density::Macrophage;point-pattern::Tumor (Myoepithelial)_L_r100;point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,spatial,2,2,254,61,0.567741935483871,0.5731182795698925,density::tumor_density::Macrophage,density::tissue_density::Tumor (Epithelial low),point-pattern::T cell_L_r10,point-pattern::T cell_L_r10,2.0,4.0,True,True,False,-0.008602150537634357,0.032258064516129115,False,False,density::tissue_density::Tumor (Epithelial low);density::tumor_density::Tumor (Apoptotic);density::tumor_density::T cell;point-pattern::T cell_L_r10;density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,spatial,2,3,246,69,0.7019400352733686,0.691358024691358,density::tumor_density::Macrophage,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;point-pattern::Macrophage_L_r200,2.0,1.0,True,True,False,0.14021164021164012,0.023809523809523725,True,True,point-pattern::T cell_L_r10;point-pattern::Tumor (CK+ HR+)_L_r10;density::tumor_density::Stromal cells;point-pattern::T cell_L_r20;point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,spatial,2,4,252,63,0.6305263157894737,0.6473684210526316,point-pattern::T cell_L_r10,point-pattern::Tumor (CK+ HR+)_K_r50,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;point-pattern::Macrophage_L_r200,point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;point-pattern::Macrophage_L_r200,1.0,2.0,True,True,False,0.0831578947368421,0.008421052631578996,True,True,point-pattern::Tumor (CK+ HR+)_K_r50;point-pattern::T cell_L_r10;point-pattern::T cell_L_r20;point-pattern::Macrophage_L_r200;point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,0,0,312,69,0.8456790123456791,0.8421516754850088,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.08465608465608465,0.002645502645502562,True,True,point-pattern::T cell_L_r10;density::tumor_density::Endothelial;density::tumor_density::T cell;point-pattern::Tumor (CK+ HR hi)_K_r200;point-pattern::Tumor (CK lo HR lo)_L_r50,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,0,1,306,75,0.8050974512743628,0.8253373313343328,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10,1.0,1.0,True,True,False,0.10119940029985008,-0.0014992503748125774,True,True,density::tumor_density::T cell;density::tumor_area_ratio;point-pattern::T cell_L_r10;density::tumor_density::Stromal cells;point-pattern::T & B cells_L_r20,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,0,2,311,70,0.7814685314685315,0.7840909090909092,density::tumor_density::T cell,density::tumor_density::T cell,density::tumor_density::T cell;point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r50;point-pattern::T cell_L_r10;point-pattern::T cell_K_r50,1.0,1.0,True,True,False,0.10926573426573438,0.061188811188811254,True,True,density::tumor_density::T cell;point-pattern::T cell_L_r50;point-pattern::T cell_L_r10;density::tumor_density::Stromal cells;point-pattern::T cell_K_r50,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,0,3,295,86,0.8164222873900293,0.8187683284457479,density::tumor_density::T cell,density::tumor_density::Stromal cells,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;point-pattern::T cell_L_r200,1.0,3.0,True,True,False,0.07859237536656893,-0.00293255131964798,True,True,density::tumor_density::Stromal cells;composition::Stromal cells;point-pattern::T cell_L_r10;point-pattern::T cell_L_r200;density::tissue_density::Tumor (Epithelial low),bc_jackson2020,True
motif_cd8_tumor_contact,spatial,0,4,300,81,0.8169761273209549,0.8249336870026526,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.10145888594164454,-0.0053050397877983935,True,True,point-pattern::T cell_L_r10;density::tumor_density::T cell;density::tumor_area_ratio;point-pattern::Tumor (CK+ HR hi)_K_r200;composition::Stromal cells,bc_jackson2020,True
motif_cd8_tumor_contact,spatial,1,0,304,77,0.8221574344023322,0.8126822157434402,density::tumor_density::T cell,point-pattern::T cell_L_r10,density::tumor_density::T cell;point-pattern::T cell_L_r10,point-pattern::T cell_L_r10;density::tumor_density::T cell,1.0,1.0,True,True,False,0.06851311953352768,0.026239067055393472,True,True,point-pattern::T cell_L_r10;density::tumor_density::T cell;density::tumor_density::Stromal cells;point-pattern::Tumor (CK+ HR lo)_L_r50;point-pattern::Tumor (CK+ HR hi)_K_r200,bc_jackson2020,True
